input_size,kernel_size,bias,stride,padding,dilation,groups,time_cost
"[2, 256, 336, 200]","[64, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.001280069351196289
"[2, 64, 128, 128]","[64, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0010306835174560547
"[1, 1024, 59, 44]","[512, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.009616851806640625
"[4, 232, 7, 7]","[232, 232, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0022051334381103516
"[4, 512, 14, 14]","[128, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.005598545074462891
"[1, 128, 304, 200]","[128, 128, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.0043256282806396484
"[1, 96, 8, 12]","[192, 96, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.004778385162353516
"[1, 2048, 22, 19]","[512, 2048, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.017683744430541992
"[1, 1024, 84, 48]","[512, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.011594772338867188
"[1, 128, 176, 181]","[128, 128, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.005950212478637695
"[1, 576, 20, 26]","[96, 576, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0028028488159179688
"[1, 256, 10, 7]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.010717391967773438
"[1, 576, 14, 26]","[576, 1, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[576],0.0010874271392822266
"[48, 512, 7, 7]","[512, 512, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.04066157341003418
"[1, 2048, 25, 34]","[256, 2048, 3, 3]",[256],"[2, 2]","[1, 1]","[1, 1]",[1],0.08534884452819824
"[1, 512, 60, 69]","[256, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.012234687805175781
"[1, 256, 42, 24]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.0057201385498046875
"[1, 256, 272, 200]","[512, 256, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.006778717041015625
"[48, 128, 28, 28]","[512, 128, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0030655860900878906
"[1, 256, 38, 25]","[36, 256, 3, 3]",[36],"[1, 1]","[1, 1]","[1, 1]",[1],0.005788326263427734
"[1, 1024, 50, 74]","[256, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.00833749771118164
"[4, 3, 224, 224]","[48, 3, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.0011799335479736328
"[1, 192, 24, 26]","[96, 192, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.001477956771850586
"[2, 1024, 50, 78]","[256, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0067653656005859375
"[2, 512, 25, 38]","[512, 512, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.036560773849487305
"[1, 128, 48, 52]","[96, 128, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0054357051849365234
"[4, 64, 160, 160]","[128, 64, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.0014026165008544922
"[1, 512, 60, 69]","[128, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0026738643646240234
"[1, 128, 88, 91]","[512, 128, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0026993751525878906
"[1, 512, 18, 15]","[512, 512, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.038874149322509766
"[1, 512, 50, 56]","[512, 512, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.04412698745727539
"[1, 512, 52, 50]","[512, 512, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.04062700271606445
"[1, 256, 200, 304]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.020421981811523438
"[2, 2560, 64, 64]","[512, 2560, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.18078875541687012
"[2, 1024, 50, 84]","[2048, 1024, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.04732871055603027
"[1, 512, 96, 168]","[256, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.005498647689819336
"[1, 24, 96, 104]","[144, 24, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0011363029479980469
"[1, 1024, 44, 38]","[2048, 1024, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.03295731544494629
"[4, 320, 28, 28]","[128, 320, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.004289150238037109
"[1, 256, 152, 100]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.004746437072753906
"[2, 2048, 34, 25]","[512, 2048, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.018511056900024414
"[2, 64, 200, 280]","[64, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.001890420913696289
"[2, 2048, 25, 42]","[512, 2048, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.01742100715637207
"[2, 256, 200, 304]","[64, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0020720958709716797
"[1, 192, 32, 48]","[96, 192, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0012776851654052734
"[16, 256, 1, 1]","[60, 256, 1, 1]",[60],"[1, 1]","[0, 0]","[1, 1]",[1],0.001669168472290039
"[2, 256, 9, 7]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.0046234130859375
"[2, 256, 50, 68]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.002267599105834961
"[8, 64, 64, 48]","[256, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0012238025665283203
"[2, 1024, 32, 32]","[256, 1024, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.03659248352050781
"[32, 256, 6, 40]","[512, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0065441131591796875
"[2, 1024, 50, 68]","[256, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.005863189697265625
"[2, 2048, 25, 35]","[512, 2048, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.017625093460083008
"[16, 256, 32, 32]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.011785507202148438
"[1, 256, 7, 9]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.007196187973022461
"[1, 256, 34, 25]","[36, 256, 3, 3]",[36],"[1, 1]","[1, 1]","[1, 1]",[1],0.004161357879638672
"[2, 256, 100, 156]","[4, 256, 3, 3]",[4],"[1, 1]","[1, 1]","[1, 1]",[1],0.002114534378051758
"[4, 256, 56, 56]","[512, 256, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.019565105438232422
"[2, 128, 100, 140]","[128, 128, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.0056476593017578125
"[1, 96, 96, 104]","[24, 96, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.001775979995727539
"[4, 992, 7, 7]","[128, 992, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.004021644592285156
"[8, 256, 16, 12]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.011155843734741211
"[2, 256, 100, 136]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.007279157638549805
"[1, 256, 38, 25]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.007127285003662109
"[1, 192, 16, 24]","[96, 192, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.001346588134765625
"[2, 512, 25, 39]","[512, 512, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.03842043876647949
"[4, 480, 28, 28]","[128, 480, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0072209835052490234
"[4, 256, 40, 40]","[256, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0048100948333740234
"[2, 256, 34, 25]","[4, 256, 3, 3]",[4],"[1, 1]","[1, 1]","[1, 1]",[1],0.0025887489318847656
"[2, 512, 64, 64]","[512, 512, 3, 3]",[False],"[1, 1]","[2, 2]","[2, 2]",[1],0.0388791561126709
"[2, 256, 136, 100]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.01355886459350586
"[1, 256, 7, 10]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.011163949966430664
"[1, 256, 200, 304]","[512, 256, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.00499725341796875
"[1, 256, 6, 11]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.01174783706665039
"[2, 256, 42, 25]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.011543989181518555
"[2, 512, 64, 64]","[256, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.006499528884887695
"[1, 32, 32, 48]","[192, 32, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0016582012176513672
"[1, 256, 48, 84]","[36, 256, 3, 3]",[36],"[1, 1]","[1, 1]","[1, 1]",[1],0.0029838085174560547
"[1, 96, 14, 26]","[192, 96, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.008721351623535156
"[1, 1024, 41, 40]","[2048, 1024, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.03277087211608887
"[6, 256, 28, 28]","[80, 256, 1, 1]",[80],"[1, 1]","[0, 0]","[1, 1]",[1],0.0049135684967041016
"[1, 512, 15, 18]","[512, 512, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.03727555274963379
"[1, 512, 152, 100]","[256, 512, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.00844573974609375
"[6, 256, 14, 14]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.011488676071166992
"[2, 256, 136, 100]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.004939556121826172
"[2, 256, 100, 140]","[4, 256, 3, 3]",[4],"[1, 1]","[1, 1]","[1, 1]",[1],0.0022165775299072266
"[1, 256, 336, 192]","[512, 256, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.0068857669830322266
"[1, 1024, 50, 68]","[2048, 1024, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.03404045104980469
"[1, 256, 50, 76]","[256, 256, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.006397724151611328
"[1, 256, 59, 44]","[1024, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.00580906867980957
"[1, 256, 76, 50]","[720, 256, 3, 3]",[720],"[1, 1]","[1, 1]","[1, 1]",[1],0.03080129623413086
"[2, 256, 13, 20]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.012223243713378906
"[1, 256, 10, 7]","[36, 256, 3, 3]",[36],"[1, 1]","[1, 1]","[1, 1]",[1],0.003909587860107422
"[2, 256, 50, 76]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.011838912963867188
"[1, 512, 30, 35]","[512, 512, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.03927135467529297
"[1, 64, 192, 240]","[64, 64, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.005892038345336914
"[1, 256, 25, 34]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.001567840576171875
"[1, 256, 12, 12]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.010349750518798828
"[1, 576, 10, 13]","[160, 576, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0033071041107177734
"[2, 512, 38, 25]","[2048, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.017246007919311523
"[2, 512, 100, 156]","[256, 512, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.0072383880615234375
"[1, 128, 84, 97]","[128, 128, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.004300594329833984
"[1, 144, 80, 104]","[144, 1, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[144],0.0016913414001464844
"[2, 256, 64, 64]","[1024, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.00673222541809082
"[2, 2048, 64, 64]","[2048, 1, 3, 3]",[False],"[1, 1]","[24, 24]","[24, 24]",[2048],0.006018638610839844
"[1, 256, 25, 40]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.01355743408203125
"[4, 704, 14, 14]","[128, 704, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.00701451301574707
"[1, 512, 100, 136]","[256, 512, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.004795551300048828
"[2, 256, 50, 78]","[4, 256, 3, 3]",[4],"[1, 1]","[1, 1]","[1, 1]",[1],0.002918720245361328
"[1, 2048, 25, 28]","[512, 2048, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.01861095428466797
"[4, 352, 28, 28]","[128, 352, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0032815933227539062
"[1, 512, 100, 160]","[128, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0027933120727539062
"[2, 512, 25, 39]","[2048, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0175020694732666
"[1, 256, 13, 19]","[720, 256, 3, 3]",[720],"[1, 1]","[1, 1]","[1, 1]",[1],0.029386281967163086
"[1, 3, 1344, 768]","[64, 3, 7, 7]",[False],"[2, 2]","[3, 3]","[1, 1]",[1],0.002994537353515625
"[1, 256, 3, 3]","[16, 256, 3, 3]",[16],"[1, 1]","[1, 1]","[1, 1]",[1],0.004342079162597656
"[1, 256, 200, 304]","[3, 256, 1, 1]",[3],"[1, 1]","[0, 0]","[1, 1]",[1],0.002111673355102539
"[4, 1024, 14, 14]","[256, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.005808591842651367
"[2, 256, 100, 168]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.006802082061767578
"[1, 256, 68, 50]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.013300657272338867
"[1, 64, 304, 200]","[256, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0033740997314453125
"[1, 384, 24, 26]","[96, 384, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0028638839721679688
"[2, 128, 136, 100]","[512, 128, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0033025741577148438
"[1, 256, 13, 17]","[3, 256, 1, 1]",[3],"[1, 1]","[0, 0]","[1, 1]",[1],0.0017044544219970703
"[1, 256, 50, 76]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.0063610076904296875
"[4, 256, 14, 14]","[1024, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.008719682693481445
"[2, 256, 16, 16]","[150, 256, 1, 1]",[150],"[1, 1]","[0, 0]","[1, 1]",[1],0.0033211708068847656
"[2, 256, 13, 19]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.007207393646240234
"[1, 256, 50, 68]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.015444517135620117
"[1, 576, 7, 13]","[160, 576, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.005066633224487305
"[1, 64, 304, 200]","[64, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.001422882080078125
"[8, 256, 64, 48]","[128, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0015799999237060547
"[4, 384, 14, 14]","[128, 384, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.001837015151977539
"[1, 96, 16, 24]","[255, 96, 1, 1]",[255],"[1, 1]","[0, 0]","[1, 1]",[1],0.0016117095947265625
"[1, 256, 88, 76]","[256, 256, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.011059045791625977
"[1, 384, 20, 26]","[96, 384, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.003418445587158203
"[1, 256, 24, 42]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.011712312698364258
"[1, 96, 48, 52]","[255, 96, 1, 1]",[255],"[1, 1]","[0, 0]","[1, 1]",[1],0.0019350051879882812
"[1, 256, 200, 224]","[64, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0012259483337402344
"[1, 96, 192, 208]","[96, 1, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[96],0.0008535385131835938
"[1, 1024, 50, 68]","[512, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.009586811065673828
"[2, 2048, 6, 6]","[512, 2048, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.01909947395324707
"[2, 256, 13, 17]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.006905555725097656
"[1, 96, 16, 24]","[192, 96, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.006870746612548828
"[2, 64, 336, 200]","[256, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0015430450439453125
"[1, 1024, 41, 40]","[512, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.009645700454711914
"[48, 1024, 14, 14]","[2048, 1024, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.036736249923706055
"[2, 256, 13, 19]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.005075931549072266
"[2, 256, 200, 280]","[128, 256, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.0019435882568359375
"[1, 256, 42, 49]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.012425422668457031
"[1, 128, 168, 96]","[128, 128, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.004082441329956055
"[1, 2048, 22, 23]","[512, 2048, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.02087688446044922
"[1, 96, 40, 52]","[96, 96, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.005146026611328125
"[1, 3, 224, 416]","[32, 3, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.001577138900756836
"[1, 256, 235, 176]","[64, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0013256072998046875
"[1, 256, 38, 25]","[720, 256, 3, 3]",[720],"[1, 1]","[1, 1]","[1, 1]",[1],0.02685856819152832
"[1, 96, 10, 13]","[96, 96, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.003954887390136719
"[1, 256, 272, 200]","[128, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0028204917907714844
"[2, 1024, 50, 76]","[256, 1024, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.008550167083740234
"[1, 128, 75, 75]","[256, 128, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.006280660629272461
"[2, 256, 68, 50]","[1024, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.00551915168762207
"[1, 192, 20, 26]","[64, 192, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.001220703125
"[2, 256, 100, 136]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.010544061660766602
"[1, 2048, 18, 15]","[512, 2048, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.020678281784057617
"[1, 128, 200, 224]","[128, 128, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.007069587707519531
"[1, 96, 160, 208]","[96, 1, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[96],0.0013942718505859375
"[32, 256, 14, 14]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.013190507888793945
"[1, 960, 12, 13]","[320, 960, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.009407520294189453
