{'item_0': 4, 'item_1': 16, 'time_cost': '0.006294727325439453'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::sub        17.23%     429.000us        19.96%     497.000us      82.833us      18.000us        36.73%      18.000us       3.000us           0 b           0 b      29.00 Kb      29.00 Kb             6            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      15.000us        30.61%      15.000us       3.000us           0 b           0 b           0 b           0 b             5            --  
                                              aten::mul         7.51%     187.000us         8.88%     221.000us      73.667us       8.000us        16.33%       8.000us       2.667us           0 b           0 b      10.50 Kb      10.50 Kb             3      2688.000  
                                          aten::maximum         5.62%     140.000us         6.51%     162.000us      81.000us       8.000us        16.33%       8.000us       4.000us           0 b           0 b      24.00 Kb      24.00 Kb             2            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us        16.33%       8.000us       4.000us           0 b           0 b           0 b           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        12.24%       6.000us       3.000us           0 b           0 b           0 b           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        10.20%       5.000us       2.500us           0 b           0 b           0 b           0 b             2            --  
                                          aten::minimum         2.89%      72.000us         3.33%      83.000us      83.000us       4.000us         8.16%       4.000us       4.000us           0 b           0 b      16.00 Kb      16.00 Kb             1            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         8.16%       4.000us       4.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::div         2.21%      55.000us         2.61%      65.000us      65.000us       4.000us         8.16%       4.000us       4.000us           0 b           0 b       8.00 Kb       8.00 Kb             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         8.16%       4.000us       4.000us           0 b           0 b           0 b           0 b             1            --  
                                            aten::clamp         2.25%      56.000us         2.65%      66.000us      66.000us       3.000us         6.12%       3.000us       3.000us           0 b           0 b      16.00 Kb      16.00 Kb             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         6.12%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         6.12%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::add         3.09%      77.000us         3.53%      88.000us      88.000us       3.000us         6.12%       3.000us       3.000us           0 b           0 b       8.00 Kb       8.00 Kb             1       512.000  
                                            aten::copy_         1.16%      29.000us         1.97%      49.000us      49.000us       1.000us         2.04%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         2.04%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                           aten::select        16.02%     399.000us        18.88%     470.000us      47.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                       aten::as_strided         6.02%     150.000us         6.02%     150.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            25            --  
                                       cudaLaunchKernel         6.67%     166.000us         6.67%     166.000us      11.067us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            15            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us          -4 b          -4 b    -112.00 Kb    -112.00 Kb            17            --  
                                            aten::slice        12.53%     312.000us        14.46%     360.000us      40.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9            --  
                                        aten::unsqueeze         8.31%     207.000us         9.56%     238.000us      39.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6            --  
                                              aten::max         1.29%      32.000us         7.79%     194.000us      97.000us       0.000us         0.00%       8.000us       4.000us           0 b           0 b      24.00 Kb           0 b             2            --  
                                              aten::min         0.68%      17.000us         4.02%     100.000us     100.000us       0.000us         0.00%       4.000us       4.000us           0 b           0 b      16.00 Kb           0 b             1            --  
                                            aten::empty         0.60%      15.000us         0.60%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           4 b           4 b           0 b           0 b             1            --  
                                               aten::to         0.92%      23.000us         5.94%     148.000us     148.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1            --  
                                         aten::_to_copy         2.09%      52.000us         5.02%     125.000us     125.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1            --  
                                    aten::empty_strided         0.96%      24.000us         0.96%      24.000us      24.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1            --  
                                        cudaMemcpyAsync         0.52%      13.000us         0.52%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                  cudaStreamSynchronize         0.28%       7.000us         0.28%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                          aten::detach_         0.60%      15.000us         0.92%      23.000us      23.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                                detach_         0.32%       8.000us         0.32%       8.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                  cudaDeviceSynchronize         0.20%       5.000us         0.20%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.490ms
Self CUDA time total: 49.000us

