{'item_0': [2, 71], 'item_1': [71], 'item_2': [182403, 80], 'time_cost': '2.013603448867798'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::empty_strided         0.06%       1.158ms         0.06%       1.158ms     231.600us       0.000us         0.00%       0.000us       0.000us          32 b          32 b       4.00 Kb       4.00 Kb             5  
                                       cudaLaunchKernel        99.89%        2.011s        99.89%        2.011s     670.343ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                aten::sparse_coo_tensor         0.00%      96.000us         0.03%     649.000us     649.000us       0.000us         0.00%      18.000us      18.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.00%      33.000us         0.00%      33.000us       3.300us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         0.00%      50.000us         0.00%      50.000us       8.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.00%       5.000us         0.00%       5.000us       1.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         0.00%      99.000us         0.00%      99.000us      24.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.00%       7.000us         0.00%       7.000us       3.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         0.00%      54.000us         0.00%      61.000us      61.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.00%      19.000us         0.01%     267.000us     267.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       2.50 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.00%      33.000us         0.01%     248.000us     248.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       2.50 Kb           0 b             1  
                                         aten::_indices         0.00%       8.000us         0.00%       8.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.00%       2.000us         0.00%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         0.00%      82.000us         0.01%     206.000us     206.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       2.50 Kb           0 b             1  
                                        aten::dense_dim         0.00%       1.000us         0.00%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.00%       1.000us         0.00%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -4.00 Kb      -4.00 Kb             3  
                                  cudaDeviceSynchronize         0.00%       6.000us         0.00%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.013s
Self CUDA time total: 26.000us

{'item_0': [2, 57], 'item_1': [57], 'item_2': [182403, 80], 'time_cost': '0.006882667541503906'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.71%      47.000us        85.09%       5.644ms       1.129ms       6.000us        50.00%       6.000us       1.200us           0 b           0 b           0 b           0 b             5  
                                              aten::min         1.45%      96.000us         2.01%     133.000us     133.000us       3.000us        25.00%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        25.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         1.22%      81.000us         1.58%     105.000us     105.000us       3.000us        25.00%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        25.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        16.67%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        16.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        16.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         0.68%      45.000us        92.46%       6.133ms       1.022ms       0.000us         0.00%       6.000us       1.000us          32 b           0 b       2.50 Kb           0 b             6  
                                         aten::_to_copy         1.45%      96.000us        91.78%       6.088ms       1.218ms       0.000us         0.00%       6.000us       1.200us          32 b           0 b       2.50 Kb           0 b             5  
                                    aten::empty_strided         5.25%     348.000us         5.25%     348.000us      69.600us       0.000us         0.00%       0.000us       0.000us          32 b          32 b       2.50 Kb       2.50 Kb             5  
                                       cudaLaunchKernel        75.77%       5.026ms        75.77%       5.026ms       1.675ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                aten::sparse_coo_tensor         1.27%      84.000us        15.69%       1.041ms       1.041ms       0.000us         0.00%       8.000us       8.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.39%      26.000us         0.39%      26.000us       2.600us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         0.44%      29.000us         0.44%      29.000us       4.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.06%       4.000us         0.06%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         8.83%     586.000us         8.83%     586.000us     146.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.08%       5.000us         0.08%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         0.75%      50.000us         0.86%      57.000us      57.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.20%      13.000us         3.02%     200.000us     200.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       1.50 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.35%      23.000us         2.82%     187.000us     187.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       1.50 Kb           0 b             1  
                                         aten::_indices         0.08%       5.000us         0.08%       5.000us       1.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.06%       4.000us         0.06%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         0.89%      59.000us         2.35%     156.000us     156.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       1.50 Kb           0 b             1  
                                        aten::dense_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -2.50 Kb      -2.50 Kb             3  
                                  cudaDeviceSynchronize         0.09%       6.000us         0.09%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.633ms
Self CUDA time total: 12.000us

{'item_0': [2, 11], 'item_1': [11, 163206], 'item_2': [], 'time_cost': '0.004058122634887695'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.99%      38.000us        56.73%       2.184ms     436.800us      50.000us        86.21%      50.000us      10.000us           0 b           0 b           0 b           0 b             5  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      47.000us        81.03%      47.000us      23.500us           0 b           0 b           0 b           0 b             2  
                                              aten::min         2.26%      87.000us         3.19%     123.000us     123.000us       4.000us         6.90%       4.000us       4.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         6.90%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         1.97%      76.000us         2.60%     100.000us     100.000us       3.000us         5.17%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         5.17%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         3.45%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.72%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                             aten::add_         0.99%      38.000us         1.22%      47.000us      47.000us       1.000us         1.72%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.72%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               aten::to         1.06%      41.000us        86.65%       3.336ms     556.000us       0.000us         0.00%      50.000us       8.333us          32 b           0 b      14.00 Mb           0 b             6  
                                         aten::_to_copy         3.06%     118.000us        85.58%       3.295ms     659.000us       0.000us         0.00%      50.000us      10.000us          32 b           0 b      14.00 Mb           0 b             5  
                                    aten::empty_strided         7.53%     290.000us        25.79%     993.000us     198.600us       0.000us         0.00%       0.000us       0.000us          32 b          32 b      14.00 Mb      14.00 Mb             5  
                                       cudaLaunchKernel        52.83%       2.034ms        52.83%       2.034ms     508.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                aten::sparse_coo_tensor         2.65%     102.000us        16.16%     622.000us     622.000us       0.000us         0.00%      10.000us      10.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.65%      25.000us         0.65%      25.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         0.78%      30.000us         0.78%      30.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.10%       4.000us         0.10%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         3.48%     134.000us         3.48%     134.000us      33.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.13%       5.000us         0.13%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.27%      49.000us         1.48%      57.000us      57.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.29%      11.000us        23.64%     910.000us     910.000us       0.000us         0.00%      47.000us      47.000us           0 b           0 b      14.00 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.36%      14.000us        23.35%     899.000us     899.000us       0.000us         0.00%      47.000us      47.000us           0 b           0 b      14.00 Mb           0 b             1  
                                         aten::_indices         0.13%       5.000us         0.13%       5.000us       1.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.08%       3.000us         0.08%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         0.96%      37.000us        22.78%     877.000us     877.000us       0.000us         0.00%      47.000us      47.000us           0 b           0 b      14.00 Mb           0 b             1  
                                        aten::dense_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             cudaMalloc        18.26%     703.000us        18.26%     703.000us     703.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -14.00 Mb     -14.00 Mb             3  
                                  cudaDeviceSynchronize         0.13%       5.000us         0.13%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.850ms
Self CUDA time total: 58.000us

{'item_0': [2, 3072], 'item_1': [3072], 'item_2': [192, 192], 'time_cost': '0.0030672550201416016'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.22%      35.000us        74.22%       2.122ms     424.400us      12.000us        50.00%      12.000us       2.400us           0 b           0 b           0 b           0 b             5  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us        29.17%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
                                              aten::min         2.94%      84.000us         4.06%     116.000us     116.000us       6.000us        25.00%       6.000us       6.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        25.00%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.62%      75.000us         3.46%      99.000us      99.000us       6.000us        25.00%       6.000us       6.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        25.00%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        12.50%       3.000us       1.500us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         8.33%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         1.40%      40.000us        84.85%       2.426ms     404.333us       0.000us         0.00%      12.000us       2.000us          32 b           0 b     120.00 Kb           0 b             6  
                                         aten::_to_copy         3.11%      89.000us        83.46%       2.386ms     477.200us       0.000us         0.00%      12.000us       2.400us          32 b           0 b     120.00 Kb           0 b             5  
                                    aten::empty_strided         6.12%     175.000us         6.12%     175.000us      35.000us       0.000us         0.00%       0.000us       0.000us          32 b          32 b     120.00 Kb     120.00 Kb             5  
                                       cudaLaunchKernel        69.50%       1.987ms        69.50%       1.987ms     662.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                aten::sparse_coo_tensor         2.55%      73.000us        18.08%     517.000us     517.000us       0.000us         0.00%      14.000us      14.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.84%      24.000us         0.84%      24.000us       2.400us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         1.01%      29.000us         1.01%      29.000us       4.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.07%       2.000us         0.07%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         3.92%     112.000us         3.92%     112.000us      28.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.17%       5.000us         0.17%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.54%      44.000us         1.78%      51.000us      51.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.38%      11.000us         5.70%     163.000us     163.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b      72.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.49%      14.000us         5.32%     152.000us     152.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b      72.00 Kb           0 b             1  
                                         aten::_indices         0.14%       4.000us         0.14%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.07%       2.000us         0.07%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.68%      48.000us         4.62%     132.000us     132.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b      72.00 Kb           0 b             1  
                                        aten::dense_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -120.00 Kb    -120.00 Kb             3  
                                  cudaDeviceSynchronize         0.21%       6.000us         0.21%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.859ms
Self CUDA time total: 24.000us

{'item_0': [2, 6], 'item_1': [6], 'item_2': [182403, 80], 'time_cost': '0.0030493736267089844'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.26%      36.000us        74.56%       2.125ms     425.000us       5.000us        45.45%       5.000us       1.000us           0 b           0 b           0 b           0 b             5  
                                              aten::min         2.95%      84.000us         4.14%     118.000us     118.000us       3.000us        27.27%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        27.27%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.63%      75.000us         3.44%      98.000us      98.000us       3.000us        27.27%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        27.27%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        18.18%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        18.18%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         9.09%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               aten::to         1.44%      41.000us        84.28%       2.402ms     400.333us       0.000us         0.00%       5.000us       0.833us          32 b           0 b       1.50 Kb           0 b             6  
                                         aten::_to_copy         3.02%      86.000us        82.84%       2.361ms     472.200us       0.000us         0.00%       5.000us       1.000us          32 b           0 b       1.50 Kb           0 b             5  
                                    aten::empty_strided         5.26%     150.000us         5.26%     150.000us      30.000us       0.000us         0.00%       0.000us       0.000us          32 b          32 b       1.50 Kb       1.50 Kb             5  
                                       cudaLaunchKernel        69.96%       1.994ms        69.96%       1.994ms     664.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                aten::sparse_coo_tensor         2.67%      76.000us        18.21%     519.000us     519.000us       0.000us         0.00%       8.000us       8.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.77%      22.000us         0.77%      22.000us       2.200us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         1.09%      31.000us         1.09%      31.000us       5.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.14%       4.000us         0.14%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         3.72%     106.000us         3.72%     106.000us      26.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.18%       5.000us         0.18%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.58%      45.000us         1.86%      53.000us      53.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.42%      12.000us         6.07%     173.000us     173.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       1.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.81%      23.000us         5.65%     161.000us     161.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       1.00 Kb           0 b             1  
                                         aten::_indices         0.18%       5.000us         0.18%       5.000us       1.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.07%       2.000us         0.07%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.68%      48.000us         4.60%     131.000us     131.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       1.00 Kb           0 b             1  
                                        aten::dense_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
