{'item_0': [38, 164], 'item_1': 164, 'item_2': 1, 'time_cost': '2.0463435649871826'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         4.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                              aten::_local_scalar_dense         0.00%      11.000us         0.00%      74.000us      37.000us       3.000us         4.00%       3.000us       1.500us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         4.00%       3.000us       1.500us           0 b           0 b           0 b           0 b             2  
                                aten::repeat_interleave         0.02%     352.000us       100.03%        2.047s        1.023s       2.000us         2.67%      75.000us      37.500us           0 b           0 b       8.00 Mb    -215.00 Kb             2  
                                            aten::fill_         0.00%      45.000us        99.89%        2.044s        2.044s       2.000us         2.67%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.67%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.67%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.67%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         0.06%       1.139ms         0.06%       1.139ms     227.800us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     214.00 Kb     214.00 Kb             5  
                                       cudaLaunchKernel        99.89%        2.044s        99.89%        2.044s     227.098ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.00%      19.000us         0.00%      34.000us      34.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.00%      15.000us         0.00%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.00%      19.000us         0.00%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.00%       3.000us         0.00%       3.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.00%      26.000us         0.01%     207.000us     103.500us       0.000us         0.00%       6.000us       3.000us           0 b           0 b       3.00 Kb           0 b             2  
                                            aten::clone         0.00%      53.000us         0.01%     181.000us      90.500us       0.000us         0.00%       6.000us       3.000us           0 b           0 b       3.00 Kb           0 b             2  
                                       aten::empty_like         0.00%      38.000us         0.00%      69.000us      34.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.00 Kb           0 b             2  
                                               aten::to         0.00%       1.000us         0.00%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       1.000us         0.00%       1.000us       0.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.00%       5.000us         0.00%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.00%      12.000us         0.00%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         0.00%      22.000us         0.00%      96.000us      48.000us       0.000us         0.00%       3.000us       1.500us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         0.00%     101.000us         0.00%     101.000us      33.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                  cudaStreamSynchronize         0.00%       7.000us         0.00%       7.000us       3.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.00%       8.000us         0.00%       8.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       7.80 Mb       7.80 Mb             1  
autograd::engine::evaluate_function: torch::autograd...         0.00%      18.000us         0.01%     134.000us     134.000us       0.000us         0.00%      27.000us      27.000us           0 b           0 b       7.80 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.00%      18.000us         0.01%     116.000us     116.000us       0.000us         0.00%      27.000us      27.000us           0 b           0 b       7.80 Mb           0 b             1  
                                aten::new_empty_strided         0.00%      11.000us         0.00%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       7.80 Mb           0 b             1  
                                    aten::empty_strided         0.00%      28.000us         0.00%      28.000us      28.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       7.80 Mb       7.80 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -15.60 Mb     -15.60 Mb             2  
                                  cudaDeviceSynchronize         0.00%       8.000us         0.00%       8.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.046s
Self CUDA time total: 75.000us

{'item_0': [57, 236], 'item_1': 236, 'item_2': 1, 'time_cost': '0.008011102676391602'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.38%      30.000us         0.96%      76.000us      25.333us      76.000us        55.07%      76.000us      25.333us           0 b           0 b           0 b           0 b             3  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      71.000us        51.45%      71.000us      71.000us           0 b           0 b           0 b           0 b             1  
                                     aten::index_select         0.51%      40.000us         8.77%     691.000us     691.000us      50.000us        36.23%      50.000us      50.000us           0 b           0 b      24.22 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      50.000us        36.23%      50.000us      50.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         3.62%       5.000us       2.500us           0 b           0 b           0 b           0 b             2  
                                              aten::all         0.38%      30.000us         0.49%      39.000us      39.000us       3.000us         2.17%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         2.17%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         2.89%     228.000us       104.64%       8.247ms       4.123ms       2.000us         1.45%      83.000us      41.500us           0 b           0 b      24.65 Mb    -441.00 Kb             2  
                                           aten::cumsum         0.77%      61.000us         1.89%     149.000us     149.000us       2.000us         1.45%       4.000us       4.000us           0 b           0 b       2.00 Kb           0 b             1  
                              aten::_local_scalar_dense         0.13%      10.000us         7.08%     558.000us     279.000us       2.000us         1.45%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         1.45%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::ge         0.36%      28.000us         0.47%      37.000us      37.000us       2.000us         1.45%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         1.45%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         1.45%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.28%      22.000us        63.71%       5.021ms       5.021ms       1.000us         0.72%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.72%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.72%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.72%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         4.20%     331.000us         4.20%     331.000us      66.200us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     440.00 Kb     440.00 Kb             5  
                                       cudaLaunchKernel        64.41%       5.076ms        64.41%       5.076ms     564.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.19%      15.000us         0.29%      23.000us      23.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.10%       8.000us         0.10%       8.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.22%      17.000us         0.23%      18.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.03%       2.000us         0.03%       2.000us       0.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.28%      22.000us         2.03%     160.000us      80.000us       0.000us         0.00%       5.000us       2.500us           0 b           0 b       4.00 Kb           0 b             2  
                                            aten::clone         0.56%      44.000us         1.75%     138.000us      69.000us       0.000us         0.00%       5.000us       2.500us           0 b           0 b       4.00 Kb           0 b             2  
                                       aten::empty_like         0.44%      35.000us         0.67%      53.000us      26.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       4.00 Kb           0 b             2  
                                               aten::to         0.01%       1.000us         0.01%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.03%       2.000us         0.03%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.14%      11.000us         0.15%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         0.27%      21.000us         7.35%     579.000us     289.500us       0.000us         0.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         7.21%     568.000us         7.21%     568.000us     189.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                  cudaStreamSynchronize         0.06%       5.000us         0.06%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.23%      18.000us         8.03%     633.000us     633.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      24.22 Mb      24.22 Mb             1  
                                             cudaMalloc        15.20%       1.198ms        15.20%       1.198ms     599.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: torch::autograd...         0.11%       9.000us         8.49%     669.000us     669.000us       0.000us         0.00%      71.000us      71.000us           0 b           0 b      24.22 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.15%      12.000us         8.37%     660.000us     660.000us       0.000us         0.00%      71.000us      71.000us           0 b           0 b      24.22 Mb           0 b             1  
                                aten::new_empty_strided         0.06%       5.000us         7.78%     613.000us     613.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      24.22 Mb           0 b             1  
                                    aten::empty_strided         0.32%      25.000us         7.71%     608.000us     608.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      24.22 Mb      24.22 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -48.44 Mb     -48.44 Mb             2  
                                  cudaDeviceSynchronize         0.09%       7.000us         0.09%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.881ms
Self CUDA time total: 138.000us

{'item_0': [86, 256], 'item_1': 256, 'item_2': 1, 'time_cost': '0.003992795944213867'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.66%      26.000us         1.55%      61.000us      20.333us     122.000us        58.10%     122.000us      40.667us           0 b           0 b           0 b           0 b             3  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     118.000us        56.19%     118.000us     118.000us           0 b           0 b           0 b           0 b             1  
                                     aten::index_select         0.92%      36.000us        11.01%     433.000us     433.000us      76.000us        36.19%      76.000us      76.000us           0 b           0 b      44.00 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      76.000us        36.19%      76.000us      76.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         1.90%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
                                              aten::all         0.69%      27.000us         0.89%      35.000us      35.000us       3.000us         1.43%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         1.43%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         5.39%     212.000us       102.19%       4.020ms       2.010ms       2.000us         0.95%     107.000us      53.500us           0 b           0 b      44.50 Mb    -517.50 Kb             2  
                                           aten::cumsum         1.65%      65.000us         3.66%     144.000us     144.000us       2.000us         0.95%       4.000us       4.000us           0 b           0 b       2.00 Kb           0 b             1  
                              aten::_local_scalar_dense         0.20%       8.000us         3.15%     124.000us      62.000us       2.000us         0.95%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.95%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::ge         0.61%      24.000us         0.84%      33.000us      33.000us       2.000us         0.95%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.95%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.95%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.38%      15.000us        52.06%       2.048ms       2.048ms       1.000us         0.48%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.48%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.48%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.48%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         6.84%     269.000us         6.84%     269.000us      53.800us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     516.50 Kb     516.50 Kb             5  
                                       cudaLaunchKernel        53.43%       2.102ms        53.43%       2.102ms     233.556us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.38%      15.000us         0.51%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.13%       5.000us         0.13%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.38%      15.000us         0.38%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.03%       1.000us         0.03%       1.000us       0.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.53%      21.000us         3.69%     145.000us      72.500us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       4.00 Kb           0 b             2  
                                            aten::clone         1.14%      45.000us         3.15%     124.000us      62.000us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       4.00 Kb           0 b             2  
                                       aten::empty_like         0.71%      28.000us         1.12%      44.000us      22.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       4.00 Kb           0 b             2  
                                               aten::to         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.03%       1.000us         0.03%       1.000us       0.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.31%      12.000us         0.33%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         0.53%      21.000us         3.69%     145.000us      72.500us       0.000us         0.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         3.23%     127.000us         3.23%     127.000us      42.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                  cudaStreamSynchronize         0.13%       5.000us         0.13%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.33%      13.000us         9.68%     381.000us     381.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      44.00 Mb      44.00 Mb             1  
                                             cudaMalloc        18.81%     740.000us        18.81%     740.000us     370.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: torch::autograd...         0.18%       7.000us        11.16%     439.000us     439.000us       0.000us         0.00%     118.000us     118.000us           0 b           0 b      44.00 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.25%      10.000us        10.98%     432.000us     432.000us       0.000us         0.00%     118.000us     118.000us           0 b           0 b      44.00 Mb           0 b             1  
                                aten::new_empty_strided         0.10%       4.000us        10.07%     396.000us     396.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      44.00 Mb           0 b             1  
                                    aten::empty_strided         0.51%      20.000us         9.96%     392.000us     392.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      44.00 Mb      44.00 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -88.00 Mb     -88.00 Mb             2  
                                  cudaDeviceSynchronize         1.47%      58.000us         1.47%      58.000us      58.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.934ms
Self CUDA time total: 210.000us

{'item_0': [1, 1, 2, 96, 112], 'item_1': 9, 'item_2': 1, 'time_cost': '0.0029468536376953125'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         1.61%      46.000us         2.28%      65.000us      65.000us       7.000us        31.82%       7.000us       7.000us           0 b           0 b       1.48 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us        31.82%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
                              aten::_local_scalar_dense         0.46%      13.000us         4.63%     132.000us      44.000us       4.000us        18.18%       4.000us       1.333us           0 b           0 b           0 b           0 b             3  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        18.18%       4.000us       1.333us           0 b           0 b           0 b           0 b             3  
                                            aten::copy_         0.25%       7.000us         0.77%      22.000us      22.000us       4.000us        18.18%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        18.18%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.84%      24.000us        71.22%       2.029ms       1.014ms       2.000us         9.09%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                           aten::cumsum         1.79%      51.000us         2.46%      70.000us      70.000us       2.000us         9.09%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
                                               aten::ge         0.98%      28.000us         1.30%      37.000us      37.000us       2.000us         9.09%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         9.09%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         6.98%     199.000us       113.65%       3.238ms       1.619ms       1.000us         4.55%      28.000us      14.000us           0 b           0 b       1.48 Mb      -2.50 Kb             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         4.55%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         4.55%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         4.55%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         4.55%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         4.55%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         5.30%     151.000us         5.30%     151.000us      50.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb       1.00 Kb             3  
                                       cudaLaunchKernel        71.88%       2.048ms        71.88%       2.048ms     292.571us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             7  
                                          aten::reshape         0.42%      12.000us         0.60%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.18%       5.000us         0.18%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.49%      14.000us         0.53%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.04%       1.000us         0.04%       1.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
