{'item_0': [38, 164], 'item_1': 164, 'item_2': 1, 'time_cost': '2.0527992248535156'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::repeat_interleave         0.02%     334.000us       100.03%        2.053s        1.027s       3.000us         6.12%      78.000us      39.000us           0 b           0 b       8.00 Mb    -215.00 Kb             2  
                              aten::_local_scalar_dense         0.00%      10.000us         0.00%      74.000us      37.000us       3.000us         6.12%       3.000us       1.500us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         6.12%       3.000us       1.500us           0 b           0 b           0 b           0 b             2  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         6.12%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.00%      46.000us        99.90%        2.051s        2.051s       1.000us         2.04%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         2.04%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         2.04%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         0.05%       1.117ms         0.05%       1.117ms     223.400us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     214.00 Kb     214.00 Kb             5  
                                       cudaLaunchKernel        99.90%        2.051s        99.90%        2.051s     227.849ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.00%      18.000us         0.00%      30.000us      30.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.00%      12.000us         0.00%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.00%      22.000us         0.00%      23.000us      23.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.00%       3.000us         0.00%       3.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.00%      23.000us         0.01%     212.000us     106.000us       0.000us         0.00%       7.000us       3.500us           0 b           0 b       3.00 Kb           0 b             2  
                                            aten::clone         0.00%      57.000us         0.01%     189.000us      94.500us       0.000us         0.00%       7.000us       3.500us           0 b           0 b       3.00 Kb           0 b             2  
                                       aten::empty_like         0.00%      38.000us         0.00%      72.000us      36.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.00 Kb           0 b             2  
                                               aten::to         0.00%       1.000us         0.00%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       1.000us         0.00%       1.000us       0.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.00%       5.000us         0.00%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.00%      14.000us         0.00%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         0.00%      23.000us         0.00%      97.000us      48.500us       0.000us         0.00%       3.000us       1.500us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         0.00%      56.000us         0.00%      56.000us      28.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                  cudaStreamSynchronize         0.00%       8.000us         0.00%       8.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.00%      10.000us         0.00%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       7.80 Mb       7.80 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -7.80 Mb      -7.80 Mb             1  
                                  cudaDeviceSynchronize         0.00%       6.000us         0.00%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.053s
Self CUDA time total: 49.000us

{'item_0': [57, 236], 'item_1': 236, 'item_2': 1, 'time_cost': '0.007199525833129883'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         0.57%      41.000us         7.19%     514.000us     514.000us      50.000us        74.63%      50.000us      50.000us           0 b           0 b      24.22 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      50.000us        74.63%      50.000us      50.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.31%      22.000us         0.60%      43.000us      21.500us       4.000us         5.97%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         5.97%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
                                               aten::ge         0.41%      29.000us         0.56%      40.000us      40.000us       3.000us         4.48%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         4.48%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                              aten::all         0.42%      30.000us         0.56%      40.000us      40.000us       3.000us         4.48%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         4.48%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         3.21%     229.000us       114.73%       8.196ms       4.098ms       2.000us         2.99%      83.000us      41.500us           0 b           0 b      24.65 Mb    -441.00 Kb             2  
                                           aten::cumsum         0.81%      58.000us         1.93%     138.000us     138.000us       2.000us         2.99%       4.000us       4.000us           0 b           0 b       2.00 Kb           0 b             1  
                              aten::_local_scalar_dense         0.14%      10.000us         8.06%     576.000us     288.000us       2.000us         2.99%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.99%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.99%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.32%      23.000us        71.40%       5.101ms       5.101ms       1.000us         1.49%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.49%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.49%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.49%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         4.76%     340.000us         4.76%     340.000us      68.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     440.00 Kb     440.00 Kb             5  
                                       cudaLaunchKernel        72.19%       5.157ms        72.19%       5.157ms     573.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.20%      14.000us         0.31%      22.000us      22.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.11%       8.000us         0.11%       8.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.22%      16.000us         0.24%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.04%       3.000us         0.04%       3.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.32%      23.000us         2.21%     158.000us      79.000us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       4.00 Kb           0 b             2  
                                            aten::clone         0.64%      46.000us         1.89%     135.000us      67.500us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       4.00 Kb           0 b             2  
                                       aten::empty_like         0.41%      29.000us         0.64%      46.000us      23.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       4.00 Kb           0 b             2  
                                               aten::to         0.01%       1.000us         0.01%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.01%       1.000us         0.01%       1.000us       0.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.01%       1.000us         0.01%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.17%      12.000us         0.18%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         0.32%      23.000us         8.38%     599.000us     299.500us       0.000us         0.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         7.85%     561.000us         7.85%     561.000us     280.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                  cudaStreamSynchronize         0.07%       5.000us         0.07%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.36%      26.000us         6.37%     455.000us     455.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      24.22 Mb      24.22 Mb             1  
                                             cudaMalloc         6.01%     429.000us         6.01%     429.000us     429.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -24.22 Mb     -24.22 Mb             1  
                                  cudaDeviceSynchronize         0.10%       7.000us         0.10%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.144ms
Self CUDA time total: 67.000us

{'item_0': [86, 256], 'item_1': 256, 'item_2': 1, 'time_cost': '0.0037736892700195312'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         1.02%      38.000us        19.20%     718.000us     718.000us      77.000us        82.80%      77.000us      77.000us           0 b           0 b      44.00 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      77.000us        82.80%      77.000us      77.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.51%      19.000us         0.99%      37.000us      18.500us       4.000us         4.30%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         4.30%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
                                              aten::all         0.75%      28.000us         0.94%      35.000us      35.000us       3.000us         3.23%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         3.23%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         5.72%     214.000us       114.65%       4.288ms       2.144ms       2.000us         2.15%     108.000us      54.000us           0 b           0 b      44.50 Mb    -517.50 Kb             2  
                                           aten::cumsum         1.44%      54.000us         3.48%     130.000us     130.000us       2.000us         2.15%       4.000us       4.000us           0 b           0 b       2.00 Kb           0 b             1  
                              aten::_local_scalar_dense         0.21%       8.000us         3.32%     124.000us      62.000us       2.000us         2.15%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.15%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::ge         0.61%      23.000us         0.83%      31.000us      31.000us       2.000us         2.15%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.15%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.15%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.40%      15.000us        54.63%       2.043ms       2.043ms       1.000us         1.08%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.08%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.08%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.08%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         7.70%     288.000us         7.70%     288.000us      57.600us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     516.50 Kb     516.50 Kb             5  
                                       cudaLaunchKernel        56.15%       2.100ms        56.15%       2.100ms     233.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.35%      13.000us         0.51%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.16%       6.000us         0.16%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.40%      15.000us         0.43%      16.000us      16.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.05%       2.000us         0.05%       2.000us       0.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.51%      19.000us         3.82%     143.000us      71.500us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       4.00 Kb           0 b             2  
                                            aten::clone         1.18%      44.000us         3.32%     124.000us      62.000us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       4.00 Kb           0 b             2  
                                       aten::empty_like         0.75%      28.000us         1.15%      43.000us      21.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       4.00 Kb           0 b             2  
                                               aten::to         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.05%       2.000us         0.05%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.29%      11.000us         0.32%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         0.56%      21.000us         3.88%     145.000us      72.500us       0.000us         0.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         2.97%     111.000us         2.97%     111.000us      55.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                  cudaStreamSynchronize         0.13%       5.000us         0.13%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.40%      15.000us        17.59%     658.000us     658.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      44.00 Mb      44.00 Mb             1  
                                             cudaMalloc        17.19%     643.000us        17.19%     643.000us     643.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -44.00 Mb     -44.00 Mb             1  
                                  cudaDeviceSynchronize         0.45%      17.000us         0.45%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.740ms
Self CUDA time total: 93.000us

{'item_0': [1, 1, 2, 96, 112], 'item_1': 9, 'item_2': 1, 'time_cost': '0.0028519630432128906'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         1.21%      34.000us         2.13%      60.000us      60.000us       7.000us        41.18%       7.000us       7.000us           0 b           0 b       1.48 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us        41.18%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
                                           aten::cumsum         1.74%      49.000us         2.38%      67.000us      67.000us       3.000us        17.65%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
                              aten::_local_scalar_dense         0.46%      13.000us         4.62%     130.000us      43.333us       3.000us        17.65%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        17.65%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                                            aten::fill_         0.82%      23.000us        72.83%       2.048ms       1.024ms       2.000us        11.76%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        11.76%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         6.93%     195.000us       115.26%       3.241ms       1.621ms       1.000us         5.88%      26.000us      13.000us           0 b           0 b       1.48 Mb      -2.50 Kb             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         5.88%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         5.88%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               aten::ge         1.10%      31.000us         1.46%      41.000us      41.000us       1.000us         5.88%       1.000us       1.000us           0 b           0 b         512 b         512 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         5.88%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         5.88%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         5.88%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         5.62%     158.000us         5.62%     158.000us      52.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb       1.00 Kb             3  
                                       cudaLaunchKernel        73.76%       2.074ms        73.76%       2.074ms     296.286us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             7  
                                          aten::reshape         0.43%      12.000us         0.64%      18.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.21%       6.000us         0.21%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.50%      14.000us         0.53%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.07%       2.000us         0.07%       2.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.39%      11.000us         0.43%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         1.10%      31.000us         5.73%     161.000us      53.667us       0.000us         0.00%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         3.95%     111.000us         3.95%     111.000us      37.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                  cudaStreamSynchronize         0.21%       6.000us         0.21%       6.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                              aten::all         1.00%      28.000us         2.81%      79.000us      79.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
                                          aten::resize_         0.28%       8.000us         0.28%       8.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.48 Mb       1.48 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.48 Mb      -1.48 Mb             1  
                                  cudaDeviceSynchronize         0.14%       4.000us         0.14%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.812ms
Self CUDA time total: 17.000us

{'item_0': [68, 244], 'item_1': 244, 'item_2': 1, 'time_cost': '0.002868175506591797'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         1.09%      31.000us         1.65%      47.000us      47.000us      63.000us        79.75%      63.000us      63.000us           0 b           0 b      30.89 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      63.000us        79.75%      63.000us      63.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.60%      17.000us         1.27%      36.000us      18.000us       4.000us         5.06%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
