{'item_0': 3000, 'time_cost': '0.034516334533691406'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::select         6.07%       1.376ms         6.94%       1.574ms      43.722us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36            --  
                                       cudaLaunchKernel         5.78%       1.311ms         5.78%       1.311ms      12.368us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           106            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us     -23.56 Kb     -23.56 Kb      -3.73 Mb      -3.73 Mb           135            --  
                                            aten::stack         0.96%     218.000us         3.44%     780.000us     390.000us       0.000us         0.00%       9.000us       4.500us           0 b           0 b     141.00 Kb           0 b             2            --  
                                        aten::unsqueeze         4.35%     987.000us         5.12%       1.162ms      40.069us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            29            --  
                                              aten::cat         0.77%     174.000us         3.87%     877.000us     175.400us       0.000us         0.00%      21.000us       4.200us           0 b           0 b     703.50 Kb           0 b             5            --  
                                            aten::empty         2.99%     677.000us         2.99%     677.000us      21.839us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     751.00 Kb     751.00 Kb            31            --  
                                          aten::resize_         1.42%     323.000us         1.42%     323.000us      17.944us       0.000us         0.00%       0.000us       0.000us      23.56 Kb      23.56 Kb       1.05 Mb       1.05 Mb            18            --  
                                           aten::arange         2.30%     521.000us         4.30%     974.000us      97.400us       0.000us         0.00%       0.000us       0.000us      47.12 Kb           0 b           0 b           0 b            10            --  
                                         aten::_to_copy         6.30%       1.429ms        21.56%       4.888ms     195.520us       0.000us         0.00%      58.000us       2.320us      11.78 Kb           0 b     650.50 Kb           0 b            25            --  
                                    aten::empty_strided         2.90%     658.000us         2.90%     658.000us      26.320us       0.000us         0.00%       0.000us       0.000us      11.78 Kb      11.78 Kb     650.50 Kb     650.50 Kb            25            --  
                                        aten::expand_as         0.47%     107.000us         1.15%     260.000us      52.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5            --  
                                           aten::expand         0.53%     121.000us         0.67%     153.000us      30.600us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5            --  
                                        cudaMemcpyAsync         0.54%     123.000us         0.54%     123.000us      13.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9            --  
                                  cudaStreamSynchronize         0.34%      77.000us         0.34%      77.000us       8.556us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9            --  
                                        aten::new_zeros         0.76%     173.000us         3.03%     688.000us     172.000us       0.000us         0.00%       8.000us       2.000us           0 b           0 b     188.00 Kb           0 b             4            --  
                                        aten::new_empty         0.45%     102.000us         0.98%     222.000us      55.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     188.00 Kb           0 b             4            --  
                                            aten::zero_         0.67%     153.000us         1.63%     369.000us      73.800us       0.000us         0.00%      11.000us       2.200us           0 b           0 b           0 b           0 b             5            --  
                                       aten::index_put_         1.39%     315.000us        18.83%       4.270ms     533.750us       0.000us         0.00%      87.000us      10.875us           0 b           0 b           0 b           0 b             8            --  
                                          aten::reshape         1.64%     371.000us         1.97%     446.000us      27.875us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                                   aten::_reshape_alias         0.33%      75.000us         0.33%      75.000us       4.688us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                                       aten::contiguous         0.62%     140.000us         6.17%       1.400ms     175.000us       0.000us         0.00%      25.000us       3.125us           0 b           0 b     188.00 Kb           0 b             8            --  
                                            aten::clone         1.71%     387.000us         5.56%       1.260ms     157.500us       0.000us         0.00%      25.000us       3.125us           0 b           0 b     188.00 Kb           0 b             8            --  
                                       aten::empty_like         0.94%     214.000us         2.01%     455.000us      56.875us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     188.00 Kb           0 b             8            --  
                                             aten::view         0.23%      53.000us         0.23%      53.000us      26.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                          aten::one_hot         0.36%      81.000us         1.77%     402.000us     402.000us       0.000us         0.00%       9.000us       9.000us           0 b           0 b     375.00 Kb           0 b             1            --  
                                            aten::zeros         0.21%      48.000us         0.69%     156.000us     156.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b     375.00 Kb           0 b             1            --  
                                          aten::__and__         0.11%      24.000us         0.64%     144.000us     144.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b      47.00 Kb           0 b             1            --  
                                  cudaDeviceSynchronize         0.03%       7.000us         0.03%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 22.674ms
Self CUDA time total: 527.000us

{'item_0': 2000, 'time_cost': '0.03344106674194336'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::topk         1.44%     319.000us         1.75%     388.000us      97.000us     128.000us        26.78%     128.000us      32.000us           0 b           0 b     190.00 Kb     190.00 Kb             4            --  
                                            aten::copy_         7.50%       1.660ms        14.75%       3.265ms      85.921us      83.000us        17.36%      89.000us       2.342us           0 b      -7.88 Kb           0 b           0 b            38            --  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us      83.000us        17.36%      83.000us      20.750us           0 b           0 b           0 b           0 b             4            --  
                                 aten::_index_put_impl_         6.46%       1.431ms        18.04%       3.995ms     499.375us      56.000us        11.72%      86.000us      10.750us           0 b           0 b           0 b    -130.00 Kb             8            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      56.000us        11.72%      56.000us       7.000us           0 b           0 b           0 b           0 b             8            --  
void at::native::bitonicSortKVInPlace<float, long, 2...         0.00%       0.000us         0.00%       0.000us       0.000us      45.000us         9.41%      45.000us      11.250us           0 b           0 b           0 b           0 b             4            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      43.000us         9.00%      43.000us       3.071us           0 b           0 b           0 b           0 b            14            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      42.000us         8.79%      42.000us       4.200us           0 b           0 b           0 b           0 b            10            --  
                                              aten::sub         3.73%     825.000us         4.37%     967.000us      80.583us      37.000us         7.74%      37.000us       3.083us           0 b           0 b     237.00 Kb     237.00 Kb            12            --  
                                              aten::mul         3.64%     807.000us         4.39%     971.000us      80.917us      30.000us         6.28%      30.000us       2.500us           0 b           0 b     190.00 Kb     190.00 Kb            12        16.016  
                                               aten::lt         3.27%     723.000us         3.72%     824.000us     103.000us      29.000us         6.07%      29.000us       3.625us           0 b           0 b      40.00 Kb      40.00 Kb             8            --  
                                              aten::add         3.36%     745.000us         3.98%     881.000us      88.100us      27.000us         5.65%      27.000us       2.700us           0 b           0 b      97.00 Kb      97.00 Kb            10        12.016  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      26.000us         5.44%      26.000us       3.250us           0 b           0 b           0 b           0 b             8            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.000us         4.39%      21.000us       2.100us           0 b           0 b           0 b           0 b            10            --  
                                             aten::_cat         2.00%     443.000us         3.12%     690.000us     138.000us      21.000us         4.39%      21.000us       4.200us           0 b           0 b     469.00 Kb           0 b             5            --  
                                              aten::div         1.96%     434.000us         2.29%     508.000us      84.667us      20.000us         4.18%      20.000us       3.333us           0 b           0 b     142.00 Kb     142.00 Kb             6            --  
                                              aten::abs         4.15%     920.000us         9.23%       2.044ms     127.750us      19.000us         3.97%      38.000us       2.375us           0 b           0 b     504.00 Kb           0 b            16            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.000us         3.97%      19.000us       2.375us           0 b           0 b           0 b           0 b             8            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.000us         3.56%      17.000us       4.250us           0 b           0 b           0 b           0 b             4            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         3.35%      16.000us       4.000us           0 b           0 b           0 b           0 b             4            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         3.35%      16.000us       4.000us           0 b           0 b           0 b           0 b             4            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      13.000us         2.72%      13.000us       3.250us           0 b           0 b           0 b           0 b             4            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         2.51%      12.000us       3.000us           0 b           0 b           0 b           0 b             4            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         2.51%      12.000us       3.000us           0 b           0 b           0 b           0 b             4            --  
                                            aten::fill_         0.64%     142.000us         0.92%     203.000us      40.600us      11.000us         2.30%      11.000us       2.200us           0 b           0 b           0 b           0 b             5            --  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.000us         2.09%      10.000us       1.111us           0 b           0 b           0 b           0 b             9            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         1.88%       9.000us       2.250us           0 b           0 b           0 b           0 b             4            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         1.67%       8.000us       2.000us           0 b           0 b           0 b           0 b             4            --  
                                               aten::eq         0.81%     180.000us         0.96%     212.000us     106.000us       6.000us         1.26%       6.000us       3.000us           0 b           0 b      63.00 Kb      63.00 Kb             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         1.26%       6.000us       3.000us           0 b           0 b           0 b           0 b             2            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         1.05%       5.000us       5.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         1.05%       5.000us       5.000us           0 b           0 b           0 b           0 b             1            --  
                                         aten::scatter_         0.41%      91.000us         0.50%     111.000us     111.000us       5.000us         1.05%       5.000us       5.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         1.05%       5.000us       5.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.63%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
                                      aten::bitwise_and         0.42%      94.000us         0.48%     106.000us     106.000us       3.000us         0.63%       3.000us       3.000us           0 b           0 b      31.50 Kb      31.50 Kb             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.63%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
                                      aten::bitwise_not         0.35%      77.000us         0.40%      89.000us      89.000us       3.000us         0.63%       3.000us       3.000us           0 b           0 b      31.50 Kb      31.50 Kb             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.63%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
                                               aten::to         2.57%     568.000us        23.62%       5.231ms     168.742us       0.000us         0.00%      57.000us       1.839us       7.88 Kb           0 b     436.00 Kb           0 b            31            --  
                                            aten::slice         8.60%       1.904ms         9.89%       2.189ms      49.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            44            --  
                                       aten::as_strided         3.32%     735.000us         3.32%     735.000us       5.976us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           123            --  
                                           aten::select         6.02%       1.333ms         6.90%       1.528ms      42.444us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36            --  
                                       cudaLaunchKernel         5.79%       1.283ms         5.79%       1.283ms      12.104us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           106            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us     -15.75 Kb     -15.75 Kb      -2.49 Mb      -2.49 Mb           135            --  
                                            aten::stack         0.98%     217.000us         3.37%     747.000us     373.500us       0.000us         0.00%       9.000us       4.500us           0 b           0 b      94.00 Kb           0 b             2            --  
                                        aten::unsqueeze         4.43%     981.000us         5.15%       1.141ms      39.345us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            29            --  
                                              aten::cat         0.77%     171.000us         3.89%     861.000us     172.200us       0.000us         0.00%      21.000us       4.200us           0 b           0 b     469.00 Kb           0 b             5            --  
                                            aten::empty         2.94%     652.000us         2.94%     652.000us      21.032us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     504.00 Kb     504.00 Kb            31            --  
                                          aten::resize_         1.47%     326.000us         1.47%     326.000us      18.111us       0.000us         0.00%       0.000us       0.000us      15.75 Kb      15.75 Kb     721.00 Kb     721.00 Kb            18            --  
                                           aten::arange         2.19%     485.000us         4.02%     891.000us      89.100us       0.000us         0.00%       0.000us       0.000us      31.50 Kb           0 b           0 b           0 b            10            --  
                                         aten::_to_copy         6.40%       1.416ms        21.06%       4.663ms     186.520us       0.000us         0.00%      57.000us       2.280us       7.88 Kb           0 b     436.00 Kb           0 b            25            --  
                                    aten::empty_strided         2.88%     637.000us         2.88%     637.000us      25.480us       0.000us         0.00%       0.000us       0.000us       7.88 Kb       7.88 Kb     436.00 Kb     436.00 Kb            25            --  
                                        aten::expand_as         0.51%     113.000us         1.18%     262.000us      52.400us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5            --  
                                           aten::expand         0.54%     119.000us         0.67%     149.000us      29.800us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5            --  
                                        cudaMemcpyAsync         0.51%     113.000us         0.51%     113.000us      12.556us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9            --  
                                  cudaStreamSynchronize         0.34%      76.000us         0.34%      76.000us       8.444us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9            --  
                                        aten::new_zeros         0.79%     174.000us         2.98%     660.000us     165.000us       0.000us         0.00%       8.000us       2.000us           0 b           0 b     126.00 Kb           0 b             4            --  
                                        aten::new_empty         0.46%     101.000us         0.95%     210.000us      52.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     126.00 Kb           0 b             4            --  
                                            aten::zero_         0.66%     147.000us         1.58%     350.000us      70.000us       0.000us         0.00%      11.000us       2.200us           0 b           0 b           0 b           0 b             5            --  
                                       aten::index_put_         1.37%     303.000us        19.41%       4.298ms     537.250us       0.000us         0.00%      86.000us      10.750us           0 b           0 b           0 b           0 b             8            --  
                                          aten::reshape         1.73%     383.000us         2.06%     456.000us      28.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                                   aten::_reshape_alias         0.33%      73.000us         0.33%      73.000us       4.562us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                                       aten::contiguous         0.61%     135.000us         6.21%       1.376ms     172.000us       0.000us         0.00%      26.000us       3.250us           0 b           0 b     128.00 Kb           0 b             8            --  
                                            aten::clone         1.73%     382.000us         5.60%       1.241ms     155.125us       0.000us         0.00%      26.000us       3.250us           0 b           0 b     128.00 Kb           0 b             8            --  
                                       aten::empty_like         0.95%     210.000us         2.06%     457.000us      57.125us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     128.00 Kb           0 b             8            --  
                                             aten::view         0.30%      67.000us         0.30%      67.000us      33.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                          aten::one_hot         0.34%      76.000us         1.74%     385.000us     385.000us       0.000us         0.00%       8.000us       8.000us           0 b           0 b     250.00 Kb           0 b             1            --  
                                            aten::zeros         0.19%      43.000us         0.66%     147.000us     147.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b     250.00 Kb           0 b             1            --  
                                          aten::__and__         0.09%      21.000us         0.57%     127.000us     127.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b      31.50 Kb           0 b             1            --  
                                  cudaDeviceSynchronize         0.03%       7.000us         0.03%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 22.142ms
Self CUDA time total: 478.000us

{'item_0': 1000, 'time_cost': '0.03324007987976074'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::topk         1.49%     326.000us         1.81%     397.000us      99.250us     102.000us        22.67%     102.000us      25.500us           0 b           0 b      96.00 Kb      96.00 Kb             4            --  
                                            aten::copy_         7.26%       1.592ms        14.28%       3.134ms      82.474us      80.000us        17.78%      85.000us       2.237us           0 b      -3.97 Kb           0 b           0 b            38            --  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us      66.000us        14.67%      66.000us      16.500us           0 b           0 b           0 b           0 b             4            --  
                                 aten::_index_put_impl_         6.32%       1.387ms        18.00%       3.950ms     493.750us      56.000us        12.44%      85.000us      10.625us           0 b           0 b           0 b     -66.00 Kb             8            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      56.000us        12.44%      56.000us       7.000us           0 b           0 b           0 b           0 b             8            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      44.000us         9.78%      44.000us       3.143us           0 b           0 b           0 b           0 b            14            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      41.000us         9.11%      41.000us       4.100us           0 b           0 b           0 b           0 b            10            --  
                                              aten::sub         3.77%     827.000us         4.41%     967.000us      80.583us      36.000us         8.00%      36.000us       3.000us           0 b           0 b     120.00 Kb     120.00 Kb            12            --  
void at::native::bitonicSortKVInPlace<float, long, 2...         0.00%       0.000us         0.00%       0.000us       0.000us      36.000us         8.00%      36.000us       9.000us           0 b           0 b           0 b           0 b             4            --  
