{'item_0': [2.0, 256.0, 25.0, 35.0], 'item_1': [50.0, 70.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.012216329574584961'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.55%      61.000us         0.55%      61.000us      61.000us     108.000us         1.95%     108.000us     108.000us           0 b           0 b           0 b           0 b             1  
                      aten::upsample_nearest2d_backward         1.21%     134.000us         1.21%     134.000us     134.000us      98.000us         1.77%      98.000us      98.000us           0 b           0 b       1.85 Mb       1.85 Mb             1  
autograd::engine::evaluate_function: torch::autograd...         0.90%     100.000us         7.23%     803.000us     803.000us      95.000us         1.72%     789.000us     789.000us      -3.42 Mb      -3.42 Mb           0 b           0 b             1  
                             UpsampleNearest2DBackward1         0.31%      34.000us         1.51%     168.000us     168.000us       3.000us         0.05%     101.000us     101.000us           0 b           0 b       1.85 Mb           0 b             1  
                                        aten::ones_like         1.45%     161.000us         3.86%     429.000us     429.000us       2.000us         0.04%     112.000us     112.000us           0 b           0 b       6.84 Mb           0 b             1  
                                       aten::empty_like         1.46%     162.000us         1.86%     207.000us     207.000us       2.000us         0.04%       2.000us       2.000us           0 b           0 b       6.84 Mb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.25%      28.000us         0.36%      40.000us      40.000us       2.000us         0.04%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         0.44%      49.000us         1.95%     217.000us     217.000us       1.000us         0.02%     102.000us     102.000us           0 b           0 b       1.85 Mb           0 b             1  
                                    aten::empty_strided         0.40%      45.000us         0.40%      45.000us      45.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.84 Mb       6.84 Mb             1  
                                         CloneBackward0         0.11%      12.000us         0.11%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -13.67 Mb     -13.67 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 11.114ms
Self CUDA time total: 5.535ms

{'item_0': [1.0, 256.0, 13.0, 13.0], 'item_1': [26.0, 25.0], 'item_2': [False], 'item_3': ['bilinear'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.004345893859863281'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::empty_strided        24.72%     812.000us        24.72%     812.000us     270.667us     685.000us        21.80%     685.000us     228.333us     507.00 Kb     507.00 Kb     650.00 Kb     650.00 Kb             3  
                              aten::upsample_bilinear2d         8.49%     279.000us         8.49%     279.000us     279.000us     456.000us        14.51%     456.000us     456.000us           0 b           0 b     650.00 Kb     650.00 Kb             1  
                                         aten::_to_copy         8.83%     290.000us        21.80%     716.000us     358.000us     314.000us         9.99%     695.000us     347.500us     507.00 Kb           0 b           0 b           0 b             2  
                                            aten::copy_         9.53%     313.000us         9.53%     313.000us     156.500us     289.000us         9.20%     289.000us     144.500us           0 b           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         6.45%     212.000us         9.56%     314.000us     314.000us     213.000us         6.78%     302.000us     302.000us           0 b           0 b           0 b           0 b             1  
                                        ToCopyBackward0         5.24%     172.000us        32.27%       1.060ms     530.000us     176.000us         5.60%       1.021ms     510.500us     507.00 Kb           0 b           0 b           0 b             2  
                     aten::upsample_bilinear2d_backward         4.57%     150.000us         7.12%     234.000us     234.000us     164.000us         5.22%     239.000us     239.000us           0 b           0 b     169.00 Kb     169.00 Kb             1  
autograd::engine::evaluate_function: ToCopyBackward0...         4.72%     155.000us        36.99%       1.215ms     607.500us     157.000us         5.00%       1.178ms     589.000us     338.00 Kb    -169.00 Kb    -169.00 Kb    -169.00 Kb             2  
                                               aten::to         5.24%     172.000us        27.03%     888.000us     444.000us     150.000us         4.77%     845.000us     422.500us     507.00 Kb           0 b           0 b           0 b             2  
                                        aten::ones_like         4.93%     162.000us        31.17%       1.024ms       1.024ms     119.000us         3.79%     809.000us     809.000us           0 b           0 b     650.00 Kb           0 b             1  
                                            aten::fill_         4.14%     136.000us         4.14%     136.000us      68.000us     118.000us         3.76%     118.000us      59.000us           0 b           0 b           0 b           0 b             2  
                                             aten::add_         3.11%     102.000us         3.11%     102.000us     102.000us      89.000us         2.83%      89.000us      89.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.86%      61.000us        11.42%     375.000us     375.000us      56.000us         1.78%     358.000us     358.000us    -338.00 Kb    -338.00 Kb           0 b           0 b             1  
                            UpsampleBilinear2DBackward1         1.13%      37.000us         8.25%     271.000us     271.000us      46.000us         1.46%     285.000us     285.000us           0 b           0 b     169.00 Kb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         1.74%      57.000us         2.13%      70.000us      70.000us      29.000us         0.92%      35.000us      35.000us           0 b           0 b           0 b           0 b             1  
                                            aten::zero_         0.88%      29.000us         2.56%      84.000us      84.000us      28.000us         0.89%      75.000us      75.000us           0 b           0 b           0 b           0 b             1  
                                       aten::empty_like         2.50%      82.000us        23.77%     781.000us     781.000us      26.000us         0.83%     619.000us     619.000us           0 b           0 b     650.00 Kb           0 b             1  
autograd::engine::evaluate_function: UpsampleBilinea...         1.55%      51.000us         9.80%     322.000us     322.000us      21.000us         0.67%     306.000us     306.000us           0 b           0 b     169.00 Kb           0 b             1  
                                         CloneBackward0         0.40%      13.000us         0.40%      13.000us      13.000us       6.000us         0.19%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.27 Mb      -1.27 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.285ms
Self CUDA time total: 3.142ms

{'item_0': [1.0, 96.0, 24.0, 26.0], 'item_1': [False], 'item_2': [2.0], 'item_3': ['None'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.003437042236328125'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        15.69%     419.000us        15.69%     419.000us     209.500us     394.000us        15.14%     394.000us     197.000us           0 b           0 b           0 b           0 b             2  
                                         aten::_to_copy        12.65%     338.000us        34.44%     920.000us     460.000us     365.000us        14.03%     898.000us     449.000us     702.00 Kb           0 b           0 b           0 b             2  
                               aten::upsample_nearest2d         9.77%     261.000us         9.77%     261.000us     261.000us     334.000us        12.84%     334.000us     334.000us           0 b           0 b     936.00 Kb     936.00 Kb             1  
                                    aten::empty_strided         8.05%     215.000us         8.05%     215.000us      71.667us     183.000us         7.03%     183.000us      61.000us     702.00 Kb     702.00 Kb     936.00 Kb     936.00 Kb             3  
                                             aten::add_         7.23%     193.000us         7.23%     193.000us     193.000us     177.000us         6.80%     177.000us     177.000us           0 b           0 b           0 b           0 b             1  
                                        ToCopyBackward0         6.25%     167.000us        46.09%       1.231ms     615.500us     171.000us         6.57%       1.213ms     606.500us     702.00 Kb           0 b           0 b           0 b             2  
                                               aten::to         5.39%     144.000us        39.84%       1.064ms     532.000us     144.000us         5.53%       1.042ms     521.000us     702.00 Kb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         5.09%     136.000us        12.32%     329.000us     329.000us     140.000us         5.38%     317.000us     317.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: ToCopyBackward0...         5.73%     153.000us        51.82%       1.384ms     692.000us     138.000us         5.30%       1.351ms     675.500us     468.00 Kb    -234.00 Kb    -234.00 Kb    -234.00 Kb             2  
autograd::engine::evaluate_function: torch::autograd...         4.08%     109.000us        16.40%     438.000us     438.000us     104.000us         4.00%     421.000us     421.000us    -468.00 Kb    -468.00 Kb           0 b           0 b             1  
                      aten::upsample_nearest2d_backward         4.98%     133.000us         4.98%     133.000us     133.000us      93.000us         3.57%      93.000us      93.000us           0 b           0 b     234.00 Kb     234.00 Kb             1  
                                        aten::ones_like         4.94%     132.000us        11.68%     312.000us     312.000us      72.000us         2.77%     243.000us     243.000us           0 b           0 b     936.00 Kb           0 b             1  
                                       aten::empty_like         2.70%      72.000us         4.64%     124.000us     124.000us      71.000us         2.73%     115.000us     115.000us           0 b           0 b     936.00 Kb           0 b             1  
                             UpsampleNearest2DBackward1         1.12%      30.000us         6.10%     163.000us     163.000us      63.000us         2.42%     156.000us     156.000us           0 b           0 b     234.00 Kb           0 b             1  
                                            aten::fill_         2.10%      56.000us         2.10%      56.000us      56.000us      56.000us         2.15%      56.000us      56.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         1.61%      43.000us         7.71%     206.000us     206.000us      36.000us         1.38%     192.000us     192.000us           0 b           0 b     234.00 Kb           0 b             1  
                                         CloneBackward0         1.46%      39.000us         1.46%      39.000us      39.000us      32.000us         1.23%      32.000us      32.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         1.16%      31.000us         2.62%      70.000us      70.000us      29.000us         1.11%      61.000us      61.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.83 Mb      -1.83 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.671ms
Self CUDA time total: 2.602ms

{'item_0': [4.0, 64.0, 160.0, 160.0], 'item_1': [160.0, 160.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.032895565032958984'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        37.05%      11.795ms        37.05%      11.795ms       2.949ms      12.681ms        39.44%      12.681ms       3.170ms           0 b           0 b           0 b           0 b             4  
                                             aten::add_        22.22%       7.075ms        22.22%       7.075ms       7.075ms       7.061ms        21.96%       7.061ms       7.061ms           0 b           0 b           0 b           0 b             1  
                      aten::upsample_nearest2d_backward        16.90%       5.380ms        17.37%       5.530ms       5.530ms       5.530ms        17.20%       6.095ms       6.095ms           0 b           0 b      26.00 Mb      26.00 Mb             1  
                                    aten::empty_strided        17.17%       5.466ms        17.17%       5.466ms       1.822ms       5.120ms        15.92%       5.120ms       1.707ms      75.00 Mb      75.00 Mb      26.00 Mb      26.00 Mb             3  
                                            aten::fill_         0.35%     111.000us         0.35%     111.000us     111.000us     490.000us         1.52%     490.000us     490.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: ToCopyBackward0...         1.03%     329.000us        39.44%      12.557ms       6.279ms     282.000us         0.88%      12.171ms       6.085ms      50.00 Mb     -25.00 Mb     -26.00 Mb     -26.00 Mb             2  
                                         aten::_to_copy         0.95%     304.000us        37.72%      12.009ms       6.005ms     281.000us         0.87%      11.703ms       5.851ms      75.00 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: torch::autograd...         0.88%     280.000us        23.52%       7.487ms       7.487ms     274.000us         0.85%       7.472ms       7.472ms     -50.00 Mb     -50.00 Mb           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.41%     132.000us        22.64%       7.207ms       7.207ms     137.000us         0.43%       7.198ms       7.198ms           0 b           0 b           0 b           0 b             1  
                               aten::upsample_nearest2d         0.77%     246.000us         1.07%     340.000us     340.000us      99.000us         0.31%     884.000us     884.000us           0 b           0 b      25.00 Mb      25.00 Mb             1  
                                        ToCopyBackward0         0.36%     114.000us        38.41%      12.228ms       6.114ms      97.000us         0.30%      11.889ms       5.944ms      75.00 Mb           0 b           0 b           0 b             2  
                                               aten::to         0.33%     105.000us        38.05%      12.114ms       6.057ms      89.000us         0.28%      11.792ms       5.896ms      75.00 Mb           0 b           0 b           0 b             2  
                                        aten::ones_like         0.56%     177.000us        17.92%       5.704ms       5.704ms       3.000us         0.01%       5.524ms       5.524ms           0 b           0 b      26.00 Mb           0 b             1  
                                       aten::empty_like         0.33%     104.000us        17.01%       5.416ms       5.416ms       2.000us         0.01%       5.031ms       5.031ms           0 b           0 b      26.00 Mb           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         0.21%      66.000us        17.83%       5.675ms       5.675ms       2.000us         0.01%       6.099ms       6.099ms           0 b           0 b      26.00 Mb           0 b             1  
                             UpsampleNearest2DBackward1         0.25%      79.000us        17.62%       5.609ms       5.609ms       2.000us         0.01%       6.097ms       6.097ms           0 b           0 b      26.00 Mb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.10%      33.000us         0.23%      74.000us      74.000us       2.000us         0.01%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.13%      41.000us         0.13%      41.000us      41.000us       1.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -51.00 Mb     -51.00 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 31.837ms
Self CUDA time total: 32.153ms

{'item_0': [2.0, 256.0, 50.0, 68.0], 'item_1': [100.0, 136.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.01607680320739746'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::empty_strided        38.14%       5.772ms        38.14%       5.772ms       2.886ms       5.433ms        35.24%       5.433ms       2.716ms      13.28 Mb      13.28 Mb      26.56 Mb      26.56 Mb             2  
                                            aten::copy_        31.67%       4.792ms        31.67%       4.792ms       2.396ms       4.749ms        30.81%       4.749ms       2.374ms           0 b           0 b           0 b           0 b             2  
                                             aten::add_        13.38%       2.025ms        13.38%       2.025ms       2.025ms       2.008ms        13.03%       2.008ms       2.008ms           0 b           0 b           0 b           0 b             1  
                               aten::upsample_nearest2d         1.92%     290.000us         1.92%     290.000us     290.000us     958.000us         6.21%     958.000us     958.000us           0 b           0 b      26.56 Mb      26.56 Mb             1  
                                            aten::fill_         0.61%      92.000us         0.61%      92.000us      92.000us     532.000us         3.45%     532.000us     532.000us           0 b           0 b           0 b           0 b             1  
                      aten::upsample_nearest2d_backward         1.29%     195.000us         1.29%     195.000us     195.000us     425.000us         2.76%     425.000us     425.000us           0 b           0 b       6.72 Mb       6.72 Mb             1  
                                         aten::_to_copy         2.79%     422.000us        35.84%       5.423ms       2.712ms     356.000us         2.31%       5.246ms       2.623ms      19.92 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         2.24%     339.000us        40.34%       6.104ms       3.052ms     309.000us         2.00%       5.907ms       2.954ms      13.28 Mb      -6.64 Mb      -6.72 Mb      -6.72 Mb             2  
                                               aten::to         1.23%     186.000us        37.07%       5.609ms       2.804ms     212.000us         1.38%       5.458ms       2.729ms      19.92 Mb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         0.89%     135.000us        14.27%       2.160ms       2.160ms     143.000us         0.93%       2.151ms       2.151ms           0 b           0 b           0 b           0 b             1  
                                        ToCopyBackward0         1.03%     156.000us        38.10%       5.765ms       2.882ms     140.000us         0.91%       5.598ms       2.799ms      19.92 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: torch::autograd...         0.82%     124.000us        15.09%       2.284ms       2.284ms     118.000us         0.77%       2.269ms       2.269ms     -13.28 Mb     -13.28 Mb           0 b           0 b             1  
                                        aten::ones_like         1.58%     239.000us        40.13%       6.072ms       6.072ms      25.000us         0.16%       5.851ms       5.851ms           0 b           0 b      26.56 Mb           0 b             1  
                             UpsampleNearest2DBackward1         0.40%      60.000us         1.69%     255.000us     255.000us       3.000us         0.02%     428.000us     428.000us           0 b           0 b       6.72 Mb           0 b             1  
                                       aten::empty_like         0.83%     125.000us        37.94%       5.741ms       5.741ms       2.000us         0.01%       5.294ms       5.294ms           0 b           0 b      26.56 Mb           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         0.37%      56.000us         2.06%     311.000us     311.000us       1.000us         0.01%     429.000us     429.000us           0 b           0 b       6.72 Mb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.20%      31.000us         0.47%      71.000us      71.000us       1.000us         0.01%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.26%      40.000us         0.26%      40.000us      40.000us       1.000us         0.01%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                    aten::empty_strided         0.35%      53.000us         0.35%      53.000us      53.000us       0.000us         0.00%       0.000us       0.000us       6.64 Mb       6.64 Mb           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -53.12 Mb     -53.12 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 15.132ms
Self CUDA time total: 15.416ms

{'item_0': [1.0, 256.0, 42.0, 24.0], 'item_1': [84.0, 48.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.003663778305053711'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        23.86%     667.000us        23.86%     667.000us     333.500us     644.000us        23.22%     644.000us     322.000us           0 b           0 b           0 b           0 b             2  
                               aten::upsample_nearest2d        10.26%     287.000us        10.26%     287.000us     287.000us     433.000us        15.61%     433.000us     433.000us           0 b           0 b       3.94 Mb       3.94 Mb             1  
                                             aten::add_        12.98%     363.000us        12.98%     363.000us     363.000us     351.000us        12.66%     351.000us     351.000us           0 b           0 b           0 b           0 b             1  
                                         aten::_to_copy         9.08%     254.000us        36.37%       1.017ms     508.500us     278.000us        10.03%       1.001ms     500.500us       2.95 Mb           0 b           0 b           0 b             2  
                      aten::upsample_nearest2d_backward         5.72%     160.000us         5.72%     160.000us     160.000us     138.000us         4.98%     138.000us     138.000us           0 b           0 b    1008.00 Kb    1008.00 Kb             1  
autograd::engine::evaluate_function: ToCopyBackward0...         5.26%     147.000us        48.43%       1.354ms     677.000us     131.000us         4.72%       1.323ms     661.500us       1.97 Mb   -1008.00 Kb   -1008.00 Kb   -1008.00 Kb             2  
                                    aten::empty_strided         5.22%     146.000us         5.22%     146.000us      48.667us     114.000us         4.11%     114.000us      38.000us       2.95 Mb       2.95 Mb       3.94 Mb       3.94 Mb             3  
                        torch::autograd::AccumulateGrad         3.90%     109.000us        16.88%     472.000us     472.000us     113.000us         4.08%     464.000us     464.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         2.07%      58.000us         2.07%      58.000us      58.000us     105.000us         3.79%     105.000us     105.000us           0 b           0 b           0 b           0 b             1  
                                        ToCopyBackward0         3.54%      99.000us        43.17%       1.207ms     603.500us      99.000us         3.57%       1.192ms     596.000us       2.95 Mb           0 b           0 b           0 b             2  
                                               aten::to         3.25%      91.000us        39.63%       1.108ms     554.000us      92.000us         3.32%       1.093ms     546.500us       2.95 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: torch::autograd...         3.08%      86.000us        19.96%     558.000us     558.000us      82.000us         2.96%     546.000us     546.000us      -1.97 Mb      -1.97 Mb           0 b           0 b             1  
                                        aten::ones_like         4.76%     133.000us        11.30%     316.000us     316.000us      57.000us         2.06%     217.000us     217.000us           0 b           0 b       3.94 Mb           0 b             1  
                             UpsampleNearest2DBackward1         1.11%      31.000us         6.83%     191.000us     191.000us      49.000us         1.77%     187.000us     187.000us           0 b           0 b    1008.00 Kb           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         1.65%      46.000us         8.48%     237.000us     237.000us      32.000us         1.15%     219.000us     219.000us           0 b           0 b    1008.00 Kb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         1.07%      30.000us         1.57%      44.000us      44.000us      28.000us         1.01%      35.000us      35.000us           0 b           0 b           0 b           0 b             1  
                                       aten::empty_like         2.68%      75.000us         4.47%     125.000us     125.000us      20.000us         0.72%      55.000us      55.000us           0 b           0 b       3.94 Mb           0 b             1  
                                         CloneBackward0         0.50%      14.000us         0.50%      14.000us      14.000us       7.000us         0.25%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -7.88 Mb      -7.88 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.796ms
Self CUDA time total: 2.773ms

{'item_0': [2.0, 256.0, 50.0, 78.0], 'item_1': [100.0, 156.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.02423691749572754'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               aten::upsample_nearest2d        28.63%       6.651ms        28.63%       6.651ms       6.651ms       7.402ms        31.34%       7.402ms       7.402ms           0 b           0 b      30.47 Mb      30.47 Mb             1  
                                    aten::empty_strided        28.27%       6.568ms        28.27%       6.568ms       2.189ms       6.172ms        26.14%       6.172ms       2.057ms      22.85 Mb      22.85 Mb      30.47 Mb      30.47 Mb             3  
                                            aten::copy_        24.35%       5.656ms        24.35%       5.656ms       2.828ms       5.544ms        23.48%       5.544ms       2.772ms           0 b           0 b           0 b           0 b             2  
                                             aten::add_         9.45%       2.196ms         9.45%       2.196ms       2.196ms       2.181ms         9.24%       2.181ms       2.181ms           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.43%     100.000us         0.43%     100.000us     100.000us     574.000us         2.43%     574.000us     574.000us           0 b           0 b           0 b           0 b             1  
                      aten::upsample_nearest2d_backward         0.71%     166.000us         0.71%     166.000us     166.000us     408.000us         1.73%     408.000us     408.000us           0 b           0 b       7.62 Mb       7.62 Mb             1  
                                         aten::_to_copy         2.06%     478.000us        27.37%       6.359ms       3.179ms     392.000us         1.66%       6.063ms       3.031ms      22.85 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         1.51%     351.000us        30.48%       7.081ms       3.541ms     322.000us         1.36%       6.765ms       3.382ms      15.23 Mb      -7.62 Mb      -7.62 Mb      -7.62 Mb             2  
