{'item_0': [128, 256], 'time_cost': '0.0017590522766113281'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel         4.31%      64.000us         4.31%      64.000us      32.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         2.56%      38.000us         7.27%     108.000us     108.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         2.02%      30.000us         4.71%      70.000us      70.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         1.01%      15.000us         2.69%      40.000us      40.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.48%      22.000us         1.68%      25.000us      25.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.20%       3.000us         0.20%       3.000us       3.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.40%       6.000us         0.47%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.07%       1.000us         0.07%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.01%      15.000us         4.85%      72.000us      72.000us       0.000us         0.00%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.81%      12.000us         3.84%      57.000us      57.000us       0.000us         0.00%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -128.00 Kb    -128.00 Kb             1  
                                  cudaDeviceSynchronize         0.67%      10.000us         0.67%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.486ms
Self CUDA time total: 9.000us

{'item_0': [71, 2], 'time_cost': '0.00043845176696777344'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         3.86%      12.000us         8.04%      25.000us      25.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         2.89%       9.000us         7.72%      24.000us      24.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         6.75%      21.000us        13.18%      41.000us      41.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         5.47%      17.000us         6.43%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.96%       3.000us         0.96%       3.000us       3.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         9.97%      31.000us        58.20%     181.000us     181.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       1.00 Kb           0 b             1  
                                       aten::empty_like         5.79%      18.000us        40.51%     126.000us     126.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb           0 b             1  
                                    aten::empty_strided        34.73%     108.000us        34.73%     108.000us     108.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb       1.00 Kb             1  
                                       cudaLaunchKernel         9.00%      28.000us         9.00%      28.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         3.22%      10.000us        10.93%      34.000us      34.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         1.29%       4.000us         7.72%      24.000us      24.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         2.25%       7.000us         6.43%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         3.54%      11.000us         4.18%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.64%       2.000us         0.64%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         1.93%       6.000us         1.93%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         3.86%      12.000us        13.83%      43.000us      43.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         1.93%       6.000us         9.97%      31.000us      31.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Kb      -1.00 Kb             1  
                                  cudaDeviceSynchronize         1.93%       6.000us         1.93%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 311.000us
Self CUDA time total: 5.000us

{'item_0': [256, 10], 'time_cost': '0.0004024505615234375'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         3.15%       9.000us         6.99%      20.000us      20.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         3.15%       9.000us         7.69%      22.000us      22.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         9.44%      27.000us        16.08%      46.000us      46.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         5.94%      17.000us         6.64%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.70%       2.000us         0.70%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like        10.49%      30.000us        59.44%     170.000us     170.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      10.00 Kb           0 b             1  
                                       aten::empty_like         6.29%      18.000us        41.26%     118.000us     118.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      10.00 Kb           0 b             1  
                                    aten::empty_strided        34.97%     100.000us        34.97%     100.000us     100.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      10.00 Kb      10.00 Kb             1  
                                       cudaLaunchKernel         8.39%      24.000us         8.39%      24.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         2.80%       8.000us         9.79%      28.000us      28.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         1.05%       3.000us         6.99%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         2.10%       6.000us         5.94%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         3.15%       9.000us         3.85%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.70%       2.000us         0.70%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         1.40%       4.000us         1.75%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.35%       1.000us         0.35%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         2.45%       7.000us        11.19%      32.000us      32.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         1.75%       5.000us         8.74%      25.000us      25.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -10.00 Kb     -10.00 Kb             1  
                                  cudaDeviceSynchronize         1.75%       5.000us         1.75%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 286.000us
Self CUDA time total: 5.000us

{'item_0': [10, 128], 'time_cost': '0.0012710094451904297'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         0.86%      10.000us         1.81%      21.000us      21.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.78%       9.000us        77.33%     897.000us     897.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         1.72%      20.000us         3.36%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         1.47%      17.000us         1.64%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.17%       2.000us         0.17%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         2.76%      32.000us        90.34%       1.048ms       1.048ms       0.000us         0.00%       2.000us       2.000us           0 b           0 b       5.00 Kb           0 b             1  
                                       aten::empty_like         1.47%      17.000us        10.26%     119.000us     119.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.00 Kb           0 b             1  
                                    aten::empty_strided         8.79%     102.000us         8.79%     102.000us     102.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.00 Kb       5.00 Kb             1  
                                       cudaLaunchKernel        77.50%     899.000us        77.50%     899.000us     449.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         0.78%       9.000us         2.59%      30.000us      30.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.34%       4.000us         1.81%      21.000us      21.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.43%       5.000us         1.47%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         0.95%      11.000us         1.03%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.09%       1.000us         0.09%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.34%       4.000us         0.43%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.09%       1.000us         0.09%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.69%       8.000us         2.84%      33.000us      33.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.34%       4.000us         2.16%      25.000us      25.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -5.00 Kb      -5.00 Kb             1  
                                  cudaDeviceSynchronize         0.43%       5.000us         0.43%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.160ms
Self CUDA time total: 5.000us

{'item_0': [256, 128], 'time_cost': '0.00067138671875'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.78%      10.000us         3.56%      20.000us      20.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.60%       9.000us        51.60%     290.000us     290.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.74%      21.000us         7.12%      40.000us      40.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.02%      17.000us         3.38%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.36%       2.000us         0.36%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.52%      31.000us        79.89%     449.000us     449.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b     128.00 Kb           0 b             1  
                                       aten::empty_like         3.20%      18.000us        22.78%     128.000us     128.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     128.00 Kb           0 b             1  
                                    aten::empty_strided        19.57%     110.000us        19.57%     110.000us     110.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     128.00 Kb     128.00 Kb             1  
                                       cudaLaunchKernel        51.78%     291.000us        51.78%     291.000us     145.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.42%       8.000us         5.34%      30.000us      30.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.71%       4.000us         3.91%      22.000us      22.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         1.25%       7.000us         3.20%      18.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.60%       9.000us         1.96%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.36%       2.000us         0.36%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.89%       5.000us         1.07%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.18%       1.000us         0.18%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.25%       7.000us         5.69%      32.000us      32.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.89%       5.000us         4.45%      25.000us      25.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -128.00 Kb    -128.00 Kb             1  
                                  cudaDeviceSynchronize         0.89%       5.000us         0.89%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 562.000us
Self CUDA time total: 5.000us

{'item_0': [12, 2], 'time_cost': '0.0006456375122070312'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.52%       8.000us         3.23%      17.000us      17.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.71%       9.000us        50.76%     267.000us     267.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.80%      20.000us         7.22%      38.000us      38.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.04%      16.000us         3.42%      18.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.70%      30.000us        79.28%     417.000us     417.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b         512 b           0 b             1  
                                       aten::empty_like         3.23%      17.000us        22.81%     120.000us     120.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided        19.58%     103.000us        19.58%     103.000us     103.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                       cudaLaunchKernel        50.76%     267.000us        50.76%     267.000us     133.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.33%       7.000us         4.94%      26.000us      26.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.76%       4.000us         3.61%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.76%       4.000us         2.85%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.90%      10.000us         2.09%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.95%       5.000us         0.95%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.33%       7.000us         6.65%      35.000us      35.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         2.09%      11.000us         5.32%      28.000us      28.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b        -512 b        -512 b             1  
                                  cudaDeviceSynchronize         0.95%       5.000us         0.95%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 526.000us
Self CUDA time total: 5.000us

{'item_0': [128, 1152], 'time_cost': '0.0010907649993896484'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         0.82%       8.000us         1.75%      17.000us      17.000us       4.000us        57.14%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        57.14%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.03%      10.000us        27.78%     270.000us     270.000us       3.000us        42.86%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        42.86%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         2.06%      20.000us         4.01%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         1.75%      17.000us         1.95%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.21%       2.000us         0.21%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         3.81%      37.000us        89.40%     869.000us     869.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b     576.00 Kb           0 b             1  
                                       aten::empty_like         1.95%      19.000us        57.82%     562.000us     562.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     576.00 Kb           0 b             1  
                                    aten::empty_strided        11.63%     113.000us        55.86%     543.000us     543.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     576.00 Kb     576.00 Kb             1  
                                  cudaStreamIsCapturing         0.21%       2.000us         0.21%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             cudaMalloc        44.03%     428.000us        44.03%     428.000us     428.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
