{'item_0': [43, 25601], 'item_1': [1], 'time_cost': '1.9643006324768066'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::amax         0.39%      75.000us         1.31%     250.000us     125.000us      30.000us         0.32%      60.000us      30.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      30.000us         0.32%      30.000us      30.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::sum         0.18%      34.000us         0.39%      75.000us      75.000us      28.000us         0.30%      28.000us      28.000us           0 b           0 b         512 b           0 b             1            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      28.000us         0.30%      28.000us      28.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::abs         0.29%      56.000us         0.87%     166.000us      83.000us       2.000us         0.02%       4.000us       2.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.02%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
                                               aten::eq         0.34%      65.000us         1.20%     228.000us     114.000us       1.000us         0.01%       2.000us       1.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.01%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                     aten::masked_fill_         0.18%      34.000us         0.23%      44.000us      44.000us       1.000us         0.01%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void kernelPointwiseApply2<TensorMaskedFillOp<float,...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.01%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::log         0.11%      21.000us         0.16%      31.000us      31.000us       1.000us         0.01%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.01%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::logsumexp         1.60%     305.000us         5.65%       1.075ms       1.075ms       0.000us         0.00%     153.000us     153.000us           0 b           0 b         512 b     -24.22 Mb             1            --  
                                            aten::empty         0.72%     136.000us         0.72%     136.000us      15.111us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      60.55 Mb      60.55 Mb             9            --  
                                          aten::resize_         0.39%      75.000us         0.39%      75.000us      18.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             4            --  
                                       cudaLaunchKernel         0.96%     183.000us         0.96%     183.000us      14.077us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            13            --  
                                          aten::squeeze         0.12%      23.000us         0.20%      38.000us      38.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                       aten::as_strided         0.18%      35.000us         0.18%      35.000us       8.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                             aten::item         0.08%      16.000us         0.15%      28.000us      28.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                              aten::_local_scalar_dense         0.06%      12.000us         0.06%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::log_         0.11%      20.000us         0.27%      51.000us      51.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::add_        15.74%       2.993ms        15.78%       3.001ms       1.500ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::ones_like         0.16%      30.000us         0.56%     106.000us     106.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                       aten::empty_like         0.10%      19.000us         0.21%      40.000us      40.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                    aten::empty_strided         0.39%      74.000us         0.39%      74.000us      24.667us       0.000us         0.00%       0.000us       0.000us      36.33 Mb      36.33 Mb         512 b         512 b             3            --  
                                            aten::fill_         0.13%      24.000us         0.19%      36.000us      36.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                      LogsumexpBackward         0.18%      35.000us         1.32%     251.000us     251.000us       0.000us         0.00%     140.000us     140.000us           0 b           0 b      12.11 Mb     -24.22 Mb             1            --  
                                        aten::unsqueeze         0.14%      26.000us         0.17%      33.000us      16.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                          CloneBackward         0.01%       2.000us         0.01%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                         torch::autograd::CopyBackwards         0.10%      19.000us        76.75%      14.597ms       7.298ms       0.000us         0.00%       8.984ms       4.492ms      36.33 Mb           0 b           0 b           0 b             2            --  
                                               aten::to         0.27%      51.000us        76.65%      14.578ms       7.289ms       0.000us         0.00%       8.984ms       4.492ms      36.33 Mb           0 b           0 b           0 b             2            --  
                                        cudaMemcpyAsync        50.36%       9.578ms        50.36%       9.578ms       9.578ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                  cudaStreamSynchronize         0.03%       5.000us         0.03%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                        torch::autograd::AccumulateGrad         0.11%      20.000us        15.71%       2.988ms       2.988ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us     -36.33 Mb     -36.33 Mb      -1.00 Kb      -1.00 Kb             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 19.019ms
Self CUDA time total: 9.277ms

{'item_0': [68, 59537], 'item_1': [1], 'time_cost': '0.013927698135375977'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls        MFLOPS  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        27.71%       3.784ms        61.29%       8.371ms       4.186ms       3.585ms        90.69%       3.585ms       1.792ms           0 b           0 b           0 b           0 b             2            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       3.585ms        90.69%       3.585ms       3.585ms           0 b           0 b           0 b           0 b             1            --  
                                              aten::exp         0.40%      54.000us         0.77%     105.000us      52.500us     121.000us         3.06%     121.000us      60.500us           0 b           0 b      32.00 Mb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     121.000us         3.06%     121.000us      60.500us           0 b           0 b           0 b           0 b             2            --  
                                              aten::sub         0.57%      78.000us         1.16%     159.000us      79.500us     114.000us         2.88%     114.000us      57.000us           0 b           0 b      32.00 Mb           0 b             2            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     114.000us         2.88%     114.000us      57.000us           0 b           0 b           0 b           0 b             2            --  
                                              aten::mul         0.31%      43.000us         0.49%      67.000us      67.000us      61.000us         1.54%      61.000us      61.000us           0 b           0 b      15.44 Mb           0 b             1         1.115  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      61.000us         1.54%      61.000us      61.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::sum         0.26%      35.000us         0.56%      76.000us      76.000us      34.000us         0.86%      34.000us      34.000us           0 b           0 b         512 b           0 b             1            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      34.000us         0.86%      34.000us      34.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::amax         0.50%      68.000us         1.81%     247.000us     123.500us      32.000us         0.81%      64.000us      32.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      32.000us         0.81%      32.000us      32.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::abs         0.43%      59.000us         1.35%     184.000us      92.000us       2.000us         0.05%       4.000us       2.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.05%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
                                               aten::eq         0.48%      66.000us         1.68%     230.000us     115.000us       2.000us         0.05%       4.000us       2.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.05%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::add_        27.13%       3.706ms        27.19%       3.714ms       1.857ms       2.000us         0.05%       2.000us       1.000us           0 b           0 b           0 b           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.05%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::logsumexp         2.13%     291.000us         8.19%       1.118ms       1.118ms       0.000us         0.00%     189.000us     189.000us           0 b           0 b         512 b     -32.00 Mb             1            --  
                                            aten::empty         1.13%     154.000us         1.13%     154.000us      17.111us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      79.44 Mb      79.44 Mb             9            --  
                                          aten::resize_         0.56%      77.000us         0.56%      77.000us      19.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             4            --  
                                       cudaLaunchKernel         1.45%     198.000us         1.45%     198.000us      15.231us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            13            --  
                                          aten::squeeze         0.17%      23.000us         0.27%      37.000us      37.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                       aten::as_strided         0.25%      34.000us         0.25%      34.000us       8.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                             aten::item         0.12%      16.000us         0.21%      28.000us      28.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                              aten::_local_scalar_dense         0.09%      12.000us         0.09%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                     aten::masked_fill_         0.27%      37.000us         0.39%      53.000us      53.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
void kernelPointwiseApply2<TensorMaskedFillOp<float,...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::log_         0.15%      20.000us         0.37%      51.000us      51.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::log         0.16%      22.000us         0.23%      31.000us      31.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::ones_like         0.20%      27.000us         0.72%      98.000us      98.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                       aten::empty_like         0.13%      18.000us         0.27%      37.000us      37.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                    aten::empty_strided         0.54%      74.000us         0.54%      74.000us      24.667us       0.000us         0.00%       0.000us       0.000us      46.33 Mb      46.33 Mb         512 b         512 b             3            --  
                                            aten::fill_         0.17%      23.000us         0.25%      34.000us      34.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                      LogsumexpBackward         0.23%      32.000us         1.86%     254.000us     254.000us       0.000us         0.00%     179.000us     179.000us           0 b           0 b      15.44 Mb     -32.00 Mb             1            --  
                                        aten::unsqueeze         0.21%      28.000us         0.26%      35.000us      17.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                          CloneBackward         0.01%       2.000us         0.01%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                         torch::autograd::CopyBackwards         0.15%      20.000us        62.21%       8.497ms       4.248ms       0.000us         0.00%       3.585ms       1.792ms      46.33 Mb           0 b           0 b           0 b             2            --  
                                               aten::to         0.37%      51.000us        62.07%       8.477ms       4.239ms       0.000us         0.00%       3.585ms       1.792ms      46.33 Mb           0 b           0 b           0 b             2            --  
                                        cudaMemcpyAsync        33.54%       4.581ms        33.54%       4.581ms       4.581ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                  cudaStreamSynchronize         0.04%       6.000us         0.04%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                        torch::autograd::AccumulateGrad         0.14%      19.000us        27.01%       3.689ms       3.689ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us     -46.33 Mb     -46.33 Mb      -1.00 Kb      -1.00 Kb             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 13.658ms
Self CUDA time total: 3.953ms

{'item_0': [43, 30977], 'item_1': [1], 'time_cost': '0.005715370178222656'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls        MFLOPS  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        19.28%       1.051ms        36.70%       2.000ms       1.000ms     820.000us        86.77%     820.000us     410.000us           0 b           0 b           0 b           0 b             2            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     820.000us        86.77%     820.000us     820.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::exp         0.94%      51.000us         1.85%     101.000us      50.500us      40.000us         4.23%      40.000us      20.000us           0 b           0 b      10.16 Mb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      40.000us         4.23%      40.000us      20.000us           0 b           0 b           0 b           0 b             2            --  
                                              aten::sub         1.17%      64.000us         2.46%     134.000us      67.000us      35.000us         3.70%      35.000us      17.500us           0 b           0 b      10.16 Mb           0 b             2            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      35.000us         3.70%      35.000us      17.500us           0 b           0 b           0 b           0 b             2            --  
                                              aten::mul         0.77%      42.000us         1.17%      64.000us      64.000us      21.000us         2.22%      21.000us      21.000us           0 b           0 b       5.08 Mb           0 b             1         2.048  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      21.000us         2.22%      21.000us      21.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::amax         1.30%      71.000us         4.50%     245.000us     122.500us      14.000us         1.48%      28.000us      14.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      14.000us         1.48%      14.000us      14.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::sum         0.62%      34.000us         1.41%      77.000us      77.000us      12.000us         1.27%      12.000us      12.000us           0 b           0 b         512 b           0 b             1            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         1.27%      12.000us      12.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::abs         1.01%      55.000us         3.10%     169.000us      84.500us       1.000us         0.11%       2.000us       1.000us           0 b           0 b       1.00 Kb           0 b             2            --  
