{'item_0': 18, 'item_1': 18, 'time_cost': '6.706372499465942'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::as_strided         0.00%       6.000us         0.00%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.00%      21.000us         0.00%     193.000us     193.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.50 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.00%      24.000us         0.00%     172.000us     172.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.50 Kb           0 b             1  
                                aten::new_empty_strided         0.00%      16.000us         0.00%      63.000us      63.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.50 Kb           0 b             1  
                                    aten::empty_strided         0.00%      47.000us         0.00%      47.000us      47.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.50 Kb       1.50 Kb             1  
                                        cudaMemcpyAsync         0.00%      62.000us         0.00%      62.000us      62.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -3.00 Kb      -3.00 Kb             2  
                                  cudaDeviceSynchronize         0.00%       7.000us         0.00%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.706s
Self CUDA time total: 4.000us

{'item_0': 58, 'item_1': 58, 'time_cost': '0.006283760070800781'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.39%      24.000us        82.47%       5.048ms       2.524ms       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.21%      13.000us         0.62%      38.000us      38.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         1.63%     100.000us       182.47%      11.169ms       5.585ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b      27.00 Kb           0 b             2  
                                            aten::empty        13.67%     837.000us        13.67%     837.000us     837.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.23%      14.000us         0.23%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      13.50 Kb      13.50 Kb             1  
                                            aten::zero_         0.28%      17.000us        82.44%       5.046ms       5.046ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        82.08%       5.024ms        82.08%       5.024ms       2.512ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.05%       3.000us         0.05%       3.000us       3.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.21%      13.000us         1.57%      96.000us      96.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b      13.50 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.28%      17.000us         1.36%      83.000us      83.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b      13.50 Kb           0 b             1  
                                aten::new_empty_strided         0.10%       6.000us         0.46%      28.000us      28.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      13.50 Kb           0 b             1  
                                    aten::empty_strided         0.36%      22.000us         0.36%      22.000us      22.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      13.50 Kb      13.50 Kb             1  
                                        cudaMemcpyAsync         0.41%      25.000us         0.41%      25.000us      25.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -27.00 Kb     -27.00 Kb             2  
                                  cudaDeviceSynchronize         0.10%       6.000us         0.10%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.121ms
Self CUDA time total: 3.000us

{'item_0': 45, 'item_1': 45, 'time_cost': '0.0025310516357421875'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.78%      19.000us        83.97%       2.033ms       1.016ms       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.25%       6.000us         0.78%      19.000us      19.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.76%      91.000us       185.38%       4.488ms       2.244ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b      16.00 Kb           0 b             2  
                                            aten::empty         8.80%     213.000us         8.80%     213.000us     213.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.45%      11.000us         0.45%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.00 Kb       8.00 Kb             1  
                                            aten::zero_         0.62%      15.000us        83.93%       2.032ms       2.032ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        83.19%       2.014ms        83.19%       2.014ms       1.007ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.08%       2.000us         0.08%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.29%       7.000us         2.11%      51.000us      51.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       8.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.33%       8.000us         1.82%      44.000us      44.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       8.00 Kb           0 b             1  
                                aten::new_empty_strided         0.12%       3.000us         0.70%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.00 Kb           0 b             1  
                                    aten::empty_strided         0.58%      14.000us         0.58%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.00 Kb       8.00 Kb             1  
                                        cudaMemcpyAsync         0.54%      13.000us         0.54%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -16.00 Kb     -16.00 Kb             2  
                                  cudaDeviceSynchronize         0.21%       5.000us         0.21%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.421ms
Self CUDA time total: 3.000us

{'item_0': 4, 'item_1': 4, 'time_cost': '0.0024595260620117188'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.83%      19.000us        87.34%       2.008ms       1.004ms       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.39%       9.000us         1.26%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.70%      85.000us       187.60%       4.313ms       2.156ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       1.00 Kb           0 b             2  
                                            aten::empty         4.31%      99.000us         4.31%      99.000us      99.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.43%      10.000us         0.43%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                            aten::zero_         0.65%      15.000us        87.30%       2.007ms       2.007ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        86.52%       1.989ms        86.52%       1.989ms     994.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.09%       2.000us         0.09%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.52%      12.000us         3.26%      75.000us      75.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.43%      10.000us         2.74%      63.000us      63.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                                aten::new_empty_strided         0.17%       4.000us         1.04%      24.000us      24.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided         0.87%      20.000us         0.87%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                        cudaMemcpyAsync         0.87%      20.000us         0.87%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Kb      -1.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.299ms
Self CUDA time total: 3.000us

{'item_0': 2, 'item_1': 2, 'time_cost': '0.0023984909057617188'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.76%      17.000us        87.68%       1.971ms     985.500us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.40%       9.000us         1.29%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.83%      86.000us       188.17%       4.230ms       2.115ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       1.00 Kb           0 b             2  
                                            aten::empty         4.05%      91.000us         4.05%      91.000us      91.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.44%      10.000us         0.44%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                            aten::zero_         0.67%      15.000us        87.63%       1.970ms       1.970ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        86.92%       1.954ms        86.92%       1.954ms     977.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.49%      11.000us         3.07%      69.000us      69.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.44%      10.000us         2.58%      58.000us      58.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                                aten::new_empty_strided         0.22%       5.000us         0.85%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided         0.62%      14.000us         0.62%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                        cudaMemcpyAsync         0.89%      20.000us         0.89%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Kb      -1.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.248ms
Self CUDA time total: 3.000us

{'item_0': 51, 'item_1': 51, 'time_cost': '0.0024416446685791016'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.83%      19.000us        87.90%       2.005ms       1.002ms       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.39%       9.000us         1.27%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.55%      81.000us       187.99%       4.288ms       2.144ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b      21.00 Kb           0 b             2  
                                            aten::empty         3.90%      89.000us         3.90%      89.000us      89.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.44%      10.000us         0.44%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      10.50 Kb      10.50 Kb             1  
                                            aten::zero_         0.66%      15.000us        87.86%       2.004ms       2.004ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        87.07%       1.986ms        87.07%       1.986ms     993.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.53%      12.000us         3.29%      75.000us      75.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b      10.50 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.48%      11.000us         2.76%      63.000us      63.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b      10.50 Kb           0 b             1  
                                aten::new_empty_strided         0.18%       4.000us         1.01%      23.000us      23.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      10.50 Kb           0 b             1  
                                    aten::empty_strided         0.83%      19.000us         0.83%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      10.50 Kb      10.50 Kb             1  
                                        cudaMemcpyAsync         0.88%      20.000us         0.88%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -21.00 Kb     -21.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.281ms
Self CUDA time total: 3.000us

{'item_0': 29, 'item_1': 29, 'time_cost': '0.002397298812866211'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.85%      19.000us        88.02%       1.977ms     988.500us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.45%      10.000us         1.29%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.65%      82.000us       188.42%       4.232ms       2.116ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       7.00 Kb           0 b             2  
                                            aten::empty         4.01%      90.000us         4.01%      90.000us      90.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.45%      10.000us         0.45%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.50 Kb       3.50 Kb             1  
                                            aten::zero_         0.58%      13.000us        87.89%       1.974ms       1.974ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        87.18%       1.958ms        87.18%       1.958ms     979.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.45%      10.000us         3.03%      68.000us      68.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       3.50 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.45%      10.000us         2.58%      58.000us      58.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       3.50 Kb           0 b             1  
                                aten::new_empty_strided         0.22%       5.000us         0.85%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.50 Kb           0 b             1  
                                    aten::empty_strided         0.62%      14.000us         0.62%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.50 Kb       3.50 Kb             1  
                                        cudaMemcpyAsync         0.85%      19.000us         0.85%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -7.00 Kb      -7.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.246ms
Self CUDA time total: 3.000us

{'item_0': 7, 'item_1': 7, 'time_cost': '0.002405405044555664'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.80%      18.000us        87.88%       1.979ms     989.500us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.40%       9.000us         1.29%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.69%      83.000us       188.14%       4.237ms       2.119ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       1.00 Kb           0 b             2  
                                            aten::empty         4.00%      90.000us         4.00%      90.000us      90.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.40%       9.000us         0.40%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                            aten::zero_         0.62%      14.000us        87.83%       1.978ms       1.978ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        87.08%       1.961ms        87.08%       1.961ms     980.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
