{'item_0': 128, 'item_1': 4, 'time_cost': '0.005347728729248047'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::resize_         1.14%      34.000us         1.14%      34.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      16.00 Kb      16.00 Kb             2            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -130.00 Kb    -130.00 Kb            37            --  
                                  cudaDeviceSynchronize         0.27%       8.000us         0.27%       8.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.971ms
Self CUDA time total: 44.000us

{'item_0': 512, 'item_1': 16, 'time_cost': '0.004583597183227539'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::mul        19.59%     583.000us        21.84%     650.000us     108.333us      14.000us        32.56%      14.000us       2.333us           0 b           0 b     192.00 Kb     192.00 Kb             6        49.152  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      13.000us        30.23%      13.000us       2.167us           0 b           0 b           0 b           0 b             6            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us        20.93%       9.000us       2.250us           0 b           0 b           0 b           0 b             4            --  
                                              aten::sub        44.46%       1.323ms        45.63%       1.358ms     452.667us       8.000us        18.60%       8.000us       2.667us           0 b           0 b      96.00 Kb      96.00 Kb             3            --  
                                              aten::add         8.74%     260.000us         9.85%     293.000us      97.667us       7.000us        16.28%       7.000us       2.333us           0 b           0 b      96.00 Kb      96.00 Kb             3        24.576  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        13.95%       6.000us       3.000us           0 b           0 b           0 b           0 b             2            --  
                                              aten::abs         4.70%     140.000us         9.14%     272.000us     136.000us       3.000us         6.98%       6.000us       3.000us           0 b           0 b      64.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         6.98%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
                                               aten::lt         2.86%      85.000us         3.23%      96.000us      96.000us       3.000us         6.98%       3.000us       3.000us           0 b           0 b       8.00 Kb       8.00 Kb             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         6.98%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::log         2.82%      84.000us         3.19%      95.000us      95.000us       3.000us         6.98%       3.000us       3.000us           0 b           0 b      32.00 Kb      32.00 Kb             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         6.98%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         6.98%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
                                            aten::where         4.33%     129.000us         5.78%     172.000us     172.000us       3.000us         6.98%       3.000us       3.000us           0 b           0 b      32.00 Kb           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         6.98%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::div         3.60%     107.000us         3.97%     118.000us     118.000us       2.000us         4.65%       2.000us       2.000us           0 b           0 b      32.00 Kb      32.00 Kb             1            --  
                                       cudaLaunchKernel         6.42%     191.000us         6.42%     191.000us      11.235us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            17            --  
                                            aten::empty         1.11%      33.000us         1.11%      33.000us      16.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                          aten::resize_         1.21%      36.000us         1.21%      36.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      64.00 Kb      64.00 Kb             2            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -520.00 Kb    -520.00 Kb            37            --  
                                  cudaDeviceSynchronize         0.17%       5.000us         0.17%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.976ms
Self CUDA time total: 43.000us

